"code","name"
"BMKH","B Cell Markers"
"BMLY","Lymphocytes"
"BMME","M:E Ratio"
"BMMG","Megakaryocytes"
"BMML","Myelogram"
"BMMY","Granulopoiesis"
"BMN","Blood Manganese"
"BMNO","Name and Hosp Number"
"BMOT","Other"
"BMPE","Pending tests"
"BMPL","Plasma cells"
"BMQU","Particles"
"BMSI","Site of sample"
"BMWP","Bone Marrow Word Processed"
"BNP","BNP"
"BP1","IGF-BP1"
"BP2","IGF-BP2"
"BP3","IGF-BP3"
"BPB","Blood Lead (SI)"
"BRBN","Barbiturate (numeric)"
"BRSA","Bromide Salts"
"BRUG","Rubella virus IgG"
"BRUM","Rubella virus IgM"
"BRUV","Rubella virus IgG value"
"BSAP","Bone specific alk.phosphatase"
"BSB","Blood Antimony"
"BSLC","Comment"
"BSPH","Phenylalanine (blood spot)"
"BT","Bleeding Time"
"BTH","Blood Thallium"
"BTIT","Tests performed in BSL"
"BUCR","Buprenorphine (ratio)"
"BUPI","Buprenorphine"
"BUPN","Buprenorphine (numeric)"
"BVOL","Urine volume"
"BZCR","Benzodiazepines (ratio)"
"C1","Penicilloyl G"
"C10","CD10"
"C103","CD103"
"C10K","CD10+Kappa+"
"C10L","CD10+Lambda+"
"C117","CD117"
"C11B","CD11b"
"C11C","CD11c"
"C125","CA125"
"C13","CD13"
"C138","TNCs CD138 +ve"
"C14","CD14"
"C14M","CD14+ve Monocytes"
"C15","CD15"
"C153","CA153"
"C16","CD16"
"C16N","CD16+ve Granulocytes"
"C19","CD19"
"C199","CA199"
"C19A","CD19 Absolute"
"C19D","% CD19+ Lymphocytes"
"C1A","CD1a"
"C1NH","C1 inhibitor antigenic conc"
"C1Q","C1q concentration"
"C2","CD2"
"C20","CD20"
"C202","Suxamethonium"
"C209","Chymopapain"
"C20A","CD20 Absolute"
"C20D","% CD20+ Lymphocytes"
"C22","CD22"
"C23","CD23"
"C25","CD25"
"C25T","% CD3+ CD25+ T cells"
"C264","CYP2D6*4"
"C3","Complement (C3)"
"C33","CD33"
"C34","CD34"
"C34A","CD34+ Cells absolute"
"C34B","% CD34+ Cells"
"C34H","CD34 Quantitation"
"C38","CD38"
"C3NP","C3 Nephritic factor"
"C3TC","CD3+ve T cells ="
"C4","Complement (C4)"
"C40E","CD40 Expression"
"C41","CD41"
"C42B","CD42b"
"C45","CD45"
"C4A8","CD4:CD8"
"C5","CD5"
"C56","CD56"
"C57","CD57"
"C61","CD61"
"C64","CD64"
"C7","CD7"
"C70","Insulin Porcine"
"C71","Insulin Bovine"
"C73","Insulin Human"
"C74","Gelatin, bovine"
"C79B","CD79b"
"C8","CD8"
"CA01","Calcitonin 0 mins"
"CA02","Calcitonin 10 mins"
"CA03","Calcitonin 15 mins"
"CA04","Calcitonin 20 mins"
"CA05","Calcitonin 30 mins"
"CA06","Calcitonin 40 mins"
"CA07","Calcitonin 45 mins"
"CA08","Calcitonin 60 mins"
"CACE","CSF Angiotensin Convert.Enzyme"
"CACN","Calcium Thrombin (Control)"
"CACR","Cannabis (ratio)"
"CADP","Collagen/ADP"
"CAE1","Caeruloplasmin"
"CAER","Caeruloplasmin"
"CAFF","Caffeine"
"CAFP","CSF AFP"
"CAG","Citric Agar Gel"
"CAL","Calcium"
"CALC","Calcitonin"
"CALD","Calcitonin"
"CAM","Hb elect. pH 8.6"
"CANS","Candida Stim"
"CARB","Carbamazepine"
"CASC","Calcium Thrombin Time (Test)"
"CASP","Calculus Specimen"
"CATU","Random Urine Catecholamines"
"CBCR","Urine Cobalt/Creat ratio"
"CBIL","Conj Bilirubin"
"CBZE","Carbamazepine 10,11 Epoxide"
"CCA","Corrected Calc"
"CCJD","CSF for CJD"
"CCK","Cholecystokinin"
"CCL","Creatinine Clearance"
"CCP","CCP Antibodies"
"CCPX","Previous CCP Antibodies"
"CD10","CD10"
"CD11","CD11c"
"CD19","CD19"
"CD20","CD20"
"CD22","CD22"
"CD23","CD23"
"CD24","CD24+ve Granulocytes"
"CD2H","CD20 Enumeration"
"CD3","CD3+ T cells"
"CD3%","CD3 Lymphocytes %"
"CD3C","CD3 Lymphocytes"
"CD3S","CD3 Stimulation of Lymphocytes"
"CD3T","CD3"
"CD4","CD4+ T cells"
"CD4%","CD4 Lymphocytes %"
"CD43","CD43"
"CD4C","CD4 Lymphocytes Abs Counts"
"CD4N","Weak CD4 + Non T cells"
"CD55","CD55+ve Red cells"
"CD59","CD59+ve Red cells"
"CD66","CD66b+ve Granulocytes"
"CD8%","CD8 Lymphocytes %"
"CD8C","CD8 Lymphocytes Abs Counts"
"CDCR","Urine Cadmium/Creat Ratio"
"CDG","Carbohydrate Def. Glycoprotein"
"CDT","Carbohydrate Def. Transferrin"
"CEA","CEA"
"CEPI","Collagen/EPI"
"CER5","5 cerebral molecules"
"CER7","7 cerebral molecules"
"CFER","CSF Ferritin"
"CFG","Cystic Fibrosis Genotyping"
"CFIB","Clauss Fibrinogen"
"CGEN","CSF Gentamicin"
"CGLU","CSF Glucose"
"CGLY","CSF Glycine"
"CH50","Complement Class Pathway Funct"
"CHAB","Chromogranins A"
"CHAC","Chamber count and cytospin"
"CHCG","CSF HCG"
"CHCR","Urine Chromium/Creat Ratio"
"CHIE","Cholinesterase"
"CHLO","Chlorpromazine"
"CHOL","Cholesterol"
"CHPS","Cholin/Pseudocholinesterase"
"CHR","Reticulocyte HB Content"
"CHRO","Chromosomes"
"CI2","Penicilloyl V"
"CI5","Ampicilloyl"
"CI6","Amoxycilloyl"
"CI7","Cefaclor"
"CI8","Chlorhexidine"
"CIGG","CSF IgG"
"CIT","Citalopram"
"CK","CK"
"CL","Chloride"
"CLAC","CSF Lactate"
"CLNZ","Clonazepam"
"CLO","Clomipramine"
"CLOB","Clobazam"
"CLOX","Clozapine (plasma)"
"CLZ","Clozapine"
"CM20","Comment CD20"
"CM34","Comment CD34"
"CMCH","Commment Cytochemistry"
"CMEL","Comment Elect."
"CMEZ","Comment enzymes"
"CMG6","COMMENT G6PD"
"CMIC","Comment Immunochem"
"CMIH","Lab. Comment"
"CMIN","CommentIntermediates"
"CMMS","MISC COMMENT (RCL)"
"CNCH","Conclusion Cytochemistry"
"CNPB","Centromere Protein B Abs"
"CNSG","Crigler-Najjar Synd. Genetics"
"COCI","Cocaine Metabolites"
"COCN","Cocaine (numeric)"
"COCR","Cocaine (ratio)"
"COD","Codeine"
"COEQ","Coenzyme Q"
"COGB","CSF Oligoclonal Banding"
"COHB","Carboxyhb"
"COMI","Lab Comment"
"COMX","COMX"
"CONI","Conclusion"
"CORD","Cortisol"
"CORT","Cortisol"
"COT","Cotinine (serum and urine)"
"COVV","% Correction"
"COX0","Calcium oxalate"
"COX1","Calcium oxalate 1H2O"
"COX2","Calcium oxalate 2H2O"
"CP01","C-Peptide 0 mins"
"CP02","C-Peptide 30 mins"
"CP03","C-Peptide 60 mins"
"CP04","C-Peptide 90 mins"
"CP05","C-Peptide 120 mins"
"CPCR","U. Cu post penicill/Cr ratio"
"CPD","C-Peptide"
"CPEP","C-Peptide"
"CPHO","Calcium phosphate"
"CPRO","CSF Protein"
"CPY1","CSF Pyruvate"
"CRE","Creatinine"
"CRED","Creatinine"
"CRF","Corticotrophin Releas. Factor"
"CRP","C-Reactive Protein"
"CRY","Joint Fluid Crystals"
"CRYO","Cryoglobulins"
"CS10","CSF S100"
"CSBG","Corticosteroid bind. globulin"
"CSPN","Cytospin"
"CT24","24hr Urine Catecholamines"
"CTAU","CSF TAU Protein"
"CTX","Serum crosslaps"
"CU","Serum Copper"
"CU24","24hr Urine Copper"
"CUCP","Copper & Caeruloplasmin"
"CUCR","Urine Copper/Creatinine Ratio"
"CVAN","CSF Vancomycin"
"CVIS","Country Visited"
"CY12","12 different growth factors"
"CY22","Cytoplasmic CD22"
"CY3","Cytoplasmic CD3"
"CY79","Cytoplasmic CD79a"
"CYA","Cyclosporin A"
"CYCN","Cytochemistry conclusion"
"CYCO","Cytochemistry comments"
"CYKA","Cytoplasmic Kappa"
"CYLA","Cytoplasmic Lambda"
"CYLY","Cytoplasmic Lysosyme"
"CYMH","Cytoplasmic Markers"
"CYMP","Cytoplasmic Myeloperoxidase"
"CYMU","Cytoplasmic Mu"
"CYSC","Cystatin C"
"CYT1","12 different growth factors"
"D1","D. pteronyssinus"
"D2","D. farinae"
"D201","Blomia tropicalis House dust m"
"D3","Dermatophagoides microceras"
"D70","Acarus siro Storage mite"
"D71","Lepidoglyphus destructor Stora"
"D72","Tyrophagus putrescentiae Stora"
"D73","Glycyphagus domesticus Stora"
"D74","Euroglyphus maynei House dust"
"DAL","Dialysis Fluid Aluminium"
"DARI","Dehydroaripiprazole"
"DARU","Darunavir"
"DCLZ","Clozapine Dose"
"DD","D-Dimer"
"DESC","Desmethylclomipramine"
"DESE","Desethylamiodarone"
"DESF","Desmethyl Fluoxetine"
"DEST","Desmethyltrimipramine"
"DF01","Endocrine GTT GH Only"
"DF02","Insulin Stress Test"
"DF03","Insulin Stress Test (Cort)"
"DF04","Insulin Stress Test (GH)"
"DF05","LHRH Stimulation Test"
"DF06","TRH Stimulation Test"
"DF07","TRH Stimulation Test (aSub)"
"DF08","TRH Stimulation Test (GH)"
"DF09","Short Synacthen Test (SST)"
"DF10","SST with -30min sample"
"DF11","Cannulated Prolactin Test"
"DF12","Glucagon Test"
"DF13","Glucagon Test (adult -glucose)"
"DF14","Glucagon Test (adult GH only)"
"DF15","Glucagon Test (paed -glucose)"
"DF16","Combined glucagon and TRH test"
"DF17","Combined glucagon/TRH -glucose"
"DF18","Combined glucagon/TRH/SST"
"DF19","Long synacthen test"
"DF20","Hydrocortisone day curve"
"DF21","Cortisol day curve"
"DF22","Growth hormone day curve"
"DF23","Calcium Pentagastrin test"
"DF24","Alpha subunit series"
"DF25","GTT with Insulin/C-Pep"
"DF26","Insulin Stress Test (glucose)"
"DF27","OCTCHAL"
"DF28","CRF test"
"DF29","GTT with Insulin"
"DFM2",""
"DFTC","DFT Comment:"
"DFTM",""
"DGTT","Glucose Tolerance Test"
"DHAP","Dihydroxyacetone phosphate ay"
"DHC","Dihydrocodeine"
"DHEA","DHEA"
"DHES","DHEAS"
"DHT","Dihydrotestosterone"
"DIAB","Diabetic Profile"
"DIBU","Dibucaine Number"
"DIG","Digoxin"
"DLAM","Lamotrigine Dose"
"DLIH","Donor Lymphocyte Infusion"
"DLIW","WBC"
"DMKH","Dual Labelling Markers"
"DNA","Anti-dsDNA Ab"
"DNA1","DNA Extraction Conc."
"DNA2","DNA Extraction Ratio"
"DNAC","ANTI-dsDNA (Crithidia)"
"DNAE","DNA Extraction"
"DNAX","Previous dsDNA Abs"
"DOP","Random Urine Dopamine"
"DOPA","24hr Urine Dopamine"
"DOTH","Dothiepin"
"DPAT","DPG/ATP Ratio"
"DPGA","Diphospho-glycerate mutase ay."
"DR50","DRVV 50/50"
"DRVC","Dilute RVV Confirm"
"DRVV","Dilute RVV Test"
"DUR","Duration"
"ECHR","Vitamin E/Cholesterol ratio"
"EDCR","Methadone Metabolite (ratio)"
"EDDX","Methadone Metabolite"
"EDI","Methadone Metabolite"
"EDN","Methadone Metabolite (numeric)"
"EFAV","Efavirenz"
"EGF","Epidermal growth factor"
"EGFR","eGFR / 1.73 m2"
"EGLY","Ethylene Glycol"
"EMA","EMA Dye Binding"
"EMAC","EMA Comment"
"EMAN","EMA Normal Control"
"EMAT","EMA Dye Binding"
"ENAS","ENA Screen"
"ENDG","Anti Endomysial Ab (IgG)"
"ENDO","Anti Endomysial Ab (IgA)"
"ENFU","Enfuvirtide"
"ENOA","Enolase assay."
"EOS","Eosinophil Count"
"EOSX","Previous Eosinophil Count"
"EP","Serum Electrophoresis"
"EPO","Erythropoietin"
"EPX","Previous Serum Electrophoresis"
"ESRR,E","ESRR, error code"
"ESRR","ESR"
"ESR","ESR"
"ETB","Blood Ethanol"
"ETG","Ethyl Glucuronide Group"
"ETGI","Ethyl Glucuronide"
"ETGN","Ethyl Glucuronide (numeric)"
"ETHO","Ethosuximide"
"ETP","Plasma Ethanol"
"ETRA","Etravirine"
"ETU","Random Urine Ethanol"
"F9AG","IXC:IX Ag Ratio"
"F9C","Factor IX"
"F9CR","Factor IX"
"FA1A","Faecal Alpha 1 Anti-Trypsin"
"FAFP","Fluid AFP"
"FAI","Free Androgen Index"
"FALB","Fluid Albumin"
"FAMY","Fluid Amylase"
"FATG","Fat Globules in stool"
"FBIC","Fluid Bicarbonate"
"FBIL","Fluid Bilirubin"
"FC1","C1 Inhibitor Function"
"FCA","Fluid Calcium"
"FCAL","Faecal Calprotectin"
"FCEA","Fluid CEA"
"FCHO","Fluid Chol"
"FCLR","Fluid Chloride"
"FCOM","Film comment"
"FCRE","Fluid Creatinine"
"FE","Iron"
"FE24","24hr Urine Iron"
"FECR","Urine Iron/Creatinine Ratio"
"FELA","Faecal Elastase"
"FER","Ferritin"
"FESA","% Iron Saturation"
"FFA","Free Fatty Acid"
"FG23","Fibroblast Growth Factor 23"
"FGF1","Fibroblast growth factor 1"
"FGLU","Fluid Glucose"
"FI8","Maize"
"FICU","Fibroblast Culture"
"FILC","Film comment"
"FILM","Film Comment:"
"FINT","Film comment internal"
"FIP","Fluid Phosphate"
"FISH","FISH"
"FK","Fluid Potassium"
"FL","Serum Fluoride"
"FL24","24hr Urine Fluoride Excretion"
"FLAM","FLAER+ve Monocytes"
"FLAN","FLAER+ve Granulocytes"
"FLDH","Fluid LDH"
"FLEC","Flecanide"
"FLNO","Fluoride Number"
"FLUD","Fluid Type"
"FLUI","Fluid Type"
"FLUO","Fluoxetine"
"FMC7","FMC7"
"FMG","Fluid Magnesium"
"FNA","Fluid Sodium"
"FOB","Faecal Occult Blood"
"FOL","Folate"
"FOSA","Fosamprenavir"
"FPS","Free Protein S"
"FRUC","Fructosamine"
"FS01","FSH 0 mins"
"FS02","FSH 20 mins"
"FS03","FSH 60 mins"
"FSH","FSH"
"FSHD","FSH"
"FSTA","Film status"
"FSUG","Faecal Reducing Substances"
"FT01","Free T4 0 mins"
"FT3","Free T3"
"FT4","Free T4"
"FT4D","Free T4"
"FTG","Fluid Trig"
"FTP","Fluid Total Protein"
"FTYP","Fluid Type"
"FURA","Fluid Urate"
"FURE","Fluid Urea"
"FVAC","Fetal VWF Activity"
"FVAG","Fetal VWF Antigen"
"FVOL","Urine volume"
"G1","Sweet vernal grass"
"G10","Johnson grass  Sorghum h"
"G11","Brome grass  Bromus inermis"
"G12","Cultivated rye"
"G13","Velvet grass"
"G14","Cultivated oat  Avena sativa"
"G15","Cultivated wheat  Triticum aes"
"G16","Meadow foxtail  Alopecurus pra"
"G17","Bahia grass  Paspalum notatum"
"G1PG","Galact-1-Phos. Genetics"
"G1PT","Galact.-1-PO4-Uridyl Transf."
"G6EH","G6PD Screen"
"G6EP","End point"
"G6P","Glucose 6 phosphate"
"G7","Common reed  Phragmites comm"
"G70","Wild rye grass  Elymus tritic"
"G71","Canary grass  Phalaris arund"
"G8","Meadow grass, Kentucky blue"
"G9","Redtop, Bentgrass  Agrostis st"
"GA1P","Galactose 1 Phosphate"
"GABA","Gabapentin"
"GAD","Glutamic Acid Decarbox Abs"
"GAGS","Mucopolysaccharides/Oligosaccs"
"GAP","Glyc. 3 phosphate"
"GAPA","Glyceraldehyde phosphate DHDA."
"GAST","Gastrin"
"GAWK","GAWK (B)"
"GBM","Anti Glom Basement Memb Ab"
"GEAC","Globin Chain Electro. (Acid)"
"GEAL","Globin Chain Electro. (Alkali)"
"GEN","Gentamicin (Random)"
"GENP","Gentamicin (Peak)"
"GENT","Gentamicin (Trough)"
"GF","Glandular Fever Screen"
"GF1","Eggwhite"
"GFH","Glandular Fever Test (Haematol"
"GFR","eGFR / 1.73 m2"
"GG6","Timothy Phleum pratense"
"GGON","Glucagon"
"GGT","Gamma GT"
"GHB","Gamma Hydroxy Butyrate"
"GHD","Growth Hormone"
"GHRE","Ghrelin"
"GI1","Honey bee Apis mellifera"
"GI3","Common wasp (Yellow jacket) Ve"
"GIP","Gastric inhibitory peptide"
"GLO","Globulin"
"GLP1","Glucagon-like-peptide-1"
"GLP2","Glucagon-like-peptide-2"
"GLU","Glucose"
"GLU0","Blood Glucose Time 0"
"GLU2","Blood Glucose Time 2hr"
"GLUD","Glucose"
"GLYA","GLY.A (CD235a) +ve Within gate"
"GLYC","CSF Glycine"
"GM1","Anti Ganglioside Ab GM1"
"GM2","Cladosporium herbarum"
"GM22","Micropolyspora faeni"
"GM23","Thermoactinomyces vulgaris"
"GM24","Stachybotrys atra"
"GM25","Aspergillus versicolor"
"GM26","Cladosporium cladosporioides"
"GM27","Penicillium spp."
"GM3","Aspergillus fumigatus"
"GM5","Candida albicans"
"GM6","Alternaria alternata"
"GMX6","m1, Gm2, m4, Gm6"
"GMX7","Gm22, Gm23"
"GOOS","Genetics of Obesity Study"
"GOTA","Glutamate oxaloacetate taminas"
"GPC","Anti Gastric Parietal Cell Ab"
"GPCP","Gastric Parietal Cell Ab paed"
"GPD2","G6PD assay two-stage."
"GPDA","G6PD assay (WHO)."
"GPIA","GPI assay"
"GPNH","Granulocyte PNH clone"
"GQ1B","Anti Ganglioside Ab GQ1B"
"GREA","Glutathione Reductase"
"GROW","GR without FAD"
"GRP","Gastrin releasing peptide"
"GRW","GR with FAD"
"GSE","Glycogen Storage Enzyme"
"GSH","Reduced Glutathione"
"GT3","Common silver birch Betula ver"
"GTIT","Urine Galactitol"
"GTT","Glucose Tolerance Test"
"GTTX","Glucose Tolerance Test"
"GUTX","Gut Hormone Screen"
"GX1","g3,g4,g5,g6,g8"
"GX2","g2, g5, g6, g8, g10, g17"
"GX3","g1, g5, g6, g12, g13"
"GX4","g1, g5, g7, g12, g13"
"GX6","g2, g5, g10, g11, g13, g17"
"H","H+"
"H1","Greer Labs., Inc."
"H2","Hollister-Stier Labs."
"H281","--HFE 282 Allele 1"
"H282","--HFE 282 Allele 2"
"H2N","Her 2 Neu"
"H631","--HFE 63 Allele 1"
"H632","--HFE 63 Allele 2"
"H651","--HFE 65 Allele 1"
"H652","--HFE 65 Allele 2"
"HA2P","Haemoglobin A2 %"
"HAEG","Haemochromatosis Genotyping"
"HAMS","Hams Test"
"HAMV","Hepatitis A IgM value"
"HAPT","Haptoglobin"
"HATV","Hepatitis A total value"
"HAZY","Hazy error code"
"HB","HGB"
"HGB","HGB"
"HBA","HbA1c (DCCT)"
"HBA0","Haemoglobin Ao %"
"HBA2","Haemoglobin A2 %"
"HBAI","HbA1c (IFCC)"
"HBAP","Haemoglobin Ao %"
"HBCP","Haemoglobin C %"
"HBCV","Hepatitis B core value"
"HBDP","Haemoglobin D %"
"HBDY","Hb H Body Preparation"
"HBFP","Haemoglobin F %"
"HBRX","Previous Hb"
"HBSP","Haemoglobin S %"
"HBUP","Unknown Hb%"
"HBX","Previous Hb"
"HC1","--HLA C Broad type 1"
"HC2","--HLA C Broad type 2"
"HC3","--HLA C Specific Allele 1"
"HC4","--HLA C Specific Allele 2"
"HCG","HCG"
"HCHM","Chamber Count"
"BIC","Bicarbonate"
"HCVV","Hepatitis C Ab value"
"HCY","Homocysteine"
"HDL","HDL Chol"
"HEAT","Heat Stability Test"
"HEBT","H. Pylori 13C-H Breath Test"
"HENZ","Heinz Body preparation"
"HERI","Street Heroin"
"HF28","HFE 282"
"HF63","HFE 63"
"HF65","HFE 65"
"HFAX","Faxed"
"HFIG","Heredit. Fructose Intolerance"
"HFR","High Flourescence Ratio"
"HGCR","Urine Mercury/Creat Ratio"
"HIAA","24hr Urine 5HIAA"
"HIB","Anti Haem Influenza IgG Ab"
"HIDX","Haemolysis Index"
"HII","Hepatic Iron Index"
"HION","H+"
"HIST","Anti Histone Antibodies"
"HIT","HIT Screen"
"HITR","HIT Screen"
"HKA","Hexokinase assay."
"HLA1","--HLA A Broad type 1"
"HLA2","--HLA A Broad type 2"
"HLA3","--HLA A Specific Allele 1"
"HLA4","--HLA A Specific Allele 2"
"HLAA","HLA A"
"HLAB","HLA B"
"HLAC","HLA C"
"HLAD","HLA DRB"
"HLAG","HLA RQD Guys"
"HLAP","%HLA-DR+, CD3+ cells"
"HLAQ","HLA DQB"
"HLAX","HLA-DR Expressing T cells"
"HLB1","--HLA B Broad type 1"
"HLB2","--HLA B Broad type 2"
"HLB3","--HLA B Specific Allele 1"
"HLB4","--HLA B Specific Allele 2"
"HLC2","HLA-DR+CD2"
"HLC3","HLA-DR+CD3"
"HLD1","--HLA DRB Broad type 1"
"HLD2","--HLA DRB Broad type 2"
"HLD3","--HLA DRB Specific Allele 1"
"HLD4","--HLA DRB Specific Allele 2"
"HLDR","HLA-DR"
"HLQ1","--HLA DQB Broad type 1"
"HLQ2","--HLA DQB Broad type 2"
"HLQ3","--HLA DQB Specific Allele 1"
"HLQ4","--HLA DQB Specific Allele 2"
"HMBS","HMBS Activity"
"HMIC","Microscopy"
"HOLD","Saved Sample"
"HPAN","Heredit. Pancreatitis Genetics"
"HPLC","HPLC"
"HU","Neuronal Abs Hu / Ri"
"HVOL","24hr Urine Volume"
"HX2","h2, d1, d2, i6"
