name,code
Acopair,93891000001108
Acorvio,9195401000001102
Acorvio Plus,9195501000001103
Acriflex,9195601000001104
Act-HIB DTP,9555901000001107
Actal,9195701000001109
Actelsar HCT,12089001000001107
Actibalm,10365301000001102
Actichlor,9195801000001100
Acticin,9195901000001106
Actidose-Aqua Advance,9196001000001102
Actikerall,10978301000001105
Actilite,9652101000001109
Actilyse,9196101000001101
Actilyse Cathflo,10978601000001104
Actimorph,94561000001104
Actinac,9196201000001108
Actiq,9196301000001104
Activon,9671801000001108
Actonel,9196401000001107
Actonel Combi,9563601000001108
Actonel Once a Week,9893601000001107
Actos,9196501000001106
Actrapid,9196601000001105
Actrapid NovoLet,9196701000001100
Actrapid Penfill,9196801000001109
Acular,9196901000001103
Acumor XL,11372901000001108
Acupan,9197001000001104
AcuSal,655631000001107
ACWY Vax,9192301000001103
Adaflex,94571000001109
Adakveo,154681000001108
Adalat,9197101000001103
Adalat LA,9197201000001105
Adalat retard,9197301000001101
Adamin-G,10550901000001100
Adanif XL,10706501000001103
Adartrel,9197401000001109
Adasuve,12755301000001103
Adcal,9197501000001108
Adcal-D3,9197601000001107
Adcetris,11474501000001102
Adcirca,10713701000001104
Adcortyl in Orabase,9197801000001106
Adcortyl Intra-articular / Intradermal,9197701000001102
Add Ins,9671901000001102
Addaven,31371000001109
Addiphos,9197901000001100
Additrace,9198001000001103
Addlube,378931000001103
AddTear,154771000001104
Adempas,12087901000001103
Adenocor,9198101000001102
Adenoscan,9198201000001109
Adenuric,10542601000001105
Adepend,11373601000001107
Adept Adhesion Reduction,13043201000001102
Adex,13084201000001105
Adgyn Combi,9563701000001103
Adgyn Estro,9198301000001100
Adgyn Medro,9198401000001108
Adios,9198501000001107
Adios Max,9672001000001105
Adipine MR,9198601000001106
Adipine XL,9198701000001101
Adizem-SR,9198801000001105
Adizem-XL,9198901000001104
Adjusan,12226301000001100
AdMag,231081000001100
Admelog,155181000001100
Adoport,10709301000001102
AdreView,12470601000001107
Adtralza,154781000001102
Adult Meltus Chesty Cough with Decongestant,9682201000001109
Adult Meltus Chesty Coughs,9672101000001106
Adult Meltus for Chesty Coughs and Catarrh,9672201000001104
Adult Meltus for Dry Coughs with Congestion,9672301000001108
Adult Meltus Night Time,9688101000001104
Advagraf,9199001000001109
Advate,9199101000001105
Advil,9558801000001106
Adynovi,227031000001109
Aeon Protect,13286301000001100
Aeon Protect Plus,71971000001106
Aeon Repair,51691000001100
Aeon Sodium Chloride,10831000001101
Aerivio Spiromax,12872001000001107
AeroBec Autohaler,9199201000001103
Aerocrom,9199301000001107
Aerocrom Syncroner,9199401000001104
Aerodiol,9199501000001100
Aerolin Autohaler,9199601000001101
AErrane,9192401000001106
Aethoxysklerol,634931000001103
Affenid XL,635291000001106
Afinitor,10365601000001108
Afrazine,9199701000001106
After Bite,9199801000001102
Agenerase,9199901000001108
Aggrastat,9200001000001100
Agitane,9200101000001104
Agrippal,9200201000001106
Aidulan,12094201000001104
Ailax,9552801000001109
Ailax Forte,9566801000001102
Aimovig,13272601000001101
Aimpart XL,11708801000001106
Aindeem,12222001000001102
AirFluSal,13032601000001105
AirFluSal Forspiro,12633401000001101
AirLife,13118701000001102
Airomir,9200301000001102
Airomir Autohaler,9200401000001105
AirSalb,11713901000001108
Aizea,11476901000001101
Ajovy,1361000001107
Akineton,9200501000001109
Akis,13117101000001104
Akizza,225881000001109
Aklief,482071000001101
Aknemin,9200601000001108
Aknemycin Plus,9200701000001103
Akynzeo,12618201000001104
Alacare,13096101000001107
Alateris,9200801000001107
Alba,9200901000001101
Albunorm,10545801000001101
Alburex,11474601000001103
Albutein,11376101000001109
AlciDol,233181000001102
Aldactide,9201001000001105
Aldactone,9201101000001106
Aldara,9201201000001104
Aldomet,9201301000001108
Aldurazyme,9201401000001100
Alecensa,13032001000001102
Alembicol D,9552901000001103
Alenini,12225001000001108
Alenvona,12094301000001108
Alexi,93991000001104
AlfacalEss,225731000001101
Alfresed,229381000001100
Algesal,9201501000001101
Algicon,9676601000001101
Algicon chewable,9682301000001100
Algopedol,12615801000001108
Alhydran,12090201000001108
Alicalm,9657201000001104
Alimentum,11715201000001104
Alimix,9201601000001102
Alimta,9201701000001107
Alka,9201801000001103
Alka-Seltzer,9201901000001109
Alka-Seltzer XS,9202001000001101
Alkapamid XL,13047801000001108
Alkeran,9202101000001100
Alkindi,13271801000001107
Allacan,12217401000001102
Allegron,9202201000001107
Aller-Eze,9202301000001103
ALLERcalm,9652201000001102
Allercrom,11468501000001103
Allergy Relief,1861000001104
Allerief,9202501000001105
AllerTek,9202401000001106
Allevia,553181000001108
Alli,10109501000001100
AllicinMax,11469401000001106
Allimax,9202601000001109
Almodan,9202701000001104
Almogran,9202801000001108
Almuriva,13033001000001107
Aloe Pura Aloe Vera,12873801000001109
Alofisel,13290301000001102
Aloflute,13059401000001104
Alomide,9202901000001102
Aloxi,9203001000001106
Alpha Keri,9203101000001107
Alpha-E,232631000001103
Alpha-E Vita,229591000001106
Alphacard MR,9652301000001106
Alphaderm,9203301000001109
Alphagan,9203401000001101
Alphanate,9203501000001102
AlphaNine,9203201000001100
Alphaparin,9203601000001103
AlphaToc-E,226831000001101
Alphavase,9203701000001108
Alphosyl,9203801000001104
Alphosyl 2 in 1,9203901000001105
Alphosyl HC,9204001000001108
Alprolix,12856601000001101
Altacite Plus,9204101000001109
Altargo,9563801000001107
Altrajuce,31431000001102
Altraplen Compact,11971001000001105
Altrashot,12760701000001101
Altridexamol,13286901000001104
Alu-Cap,9204201000001102
Aludrox,9204301000001106
Alunbrig,13284501000001100
Alupent,9204401000001103
Alutard SQ Bee Venom,229131000001102
Alutard SQ Wasp Venom,229091000001100
Alvedon,9204501000001104
Alventa XL,10371001000001105
Alveogyl,12217901000001106
Alvesco,9204601000001100
Alymsys,93131000001102
Alyrane,9204701000001105
Alzain,12458001000001104
Alzest,12089201000001101
Alzhok,13048001000001100
Amaryl,9204901000001107
Ambelina,227971000001107
Ambirix,9566901000001108
AmBisome,9204801000001101
Ambre Solaire aftersun,9682401000001108
Ambre Solaire Total screen,9672401000001100
Ameluz,12218301000001106
Ametop,9205001000001107
Amfexa,12613701000001100
Amgevita,13275901000001104
Amglidia,10271000001103
Amias,9205101000001108
Amiclav,9205201000001101
Amikin,9205301000001105
Amil-Co,9205401000001102
Amilamont,9205501000001103
Amilmaxco,9205601000001104
Aminoplasmal,13093701000001100
Aminoven,9652401000001103
Aminoven 16,232071000001105
Aminoven 25,232081000001107
Aminoven 8,232031000001108
Amitiza,11970401000001105
Amix,9205701000001109
Amlostin,9205801000001100
Ammonaps,9205901000001106
Amnivent SR,9206001000001102
Amoram,9206101000001101
Amoride,9206301000001104
Amoxident,9206401000001107
Amoxil,9206601000001105
Amphero XL,12094401000001100
Amphocil,9206701000001100
AmPhytom,94381000001102
Ampres,11708901000001100
Amsidine,9206801000001109
Amvisc,12911401000001107
Amyben,9206901000001103
Amytal,9207001000001104
Anabact,9207101000001103
Anacal,9207201000001105
Anacal rectal,9207301000001101
Anadin Extra,9688201000001106
Anadin Ibuprofen,9666201000001107
Anadin Joint Pain,9682501000001107
Anadin LiquiFast,11074601000001106
Anadin Original,9661401000001104
Anadin Paracetamol,9682601000001106
Anadin Period Pain Relief,12457101000001104
Anadin Ultra,12873901000001103
Anaflex,9207401000001109
Anafranil,9207501000001108
Anafranil SR,9207601000001107
Anapen,9207701000001102
Anatera,12226401000001108
Anbesol,9652501000001104
Anbesol Adult,9652601000001100
Anbesol teething,9666301000001103
Ancotil,9207801000001106
Andrews Antacid,9207901000001100
Andrews Plus,9208001000001103
Androcur,9208101000001102
Andropatch,9208201000001109
Anectine,9208301000001100
Anethaine,9208401000001108
Anexate,9208501000001107
Angeliq,9208601000001106
Angettes,9208701000001101
Angeze,9208801000001105
Angilol,1161000001105
Angiopine,9208901000001104
Angiopine MR,9209001000001109
Angiox,9209101000001105
Angiozem,9209201000001103
Angiozem CR,9209301000001107
Angitak,9209501000001100
Angitil SR,9209601000001101
Angitil XL,9209701000001106
Angusta,72531000001108
Anhydrol,9209801000001102
Anodesyn,9209901000001108
Anoro Ellipta,12093201000001102
Anquil,9210001000001102
Antabuse,9210101000001101
Antepsin,9210201000001108
Anthelios XL Melt-In,10971101000001104
Anthisan,9210301000001104
Anthisan Plus,9210401000001107
Antipeol,9210501000001106
Antipressan,9210601000001105
Antox version 1.2,9210701000001100
Anturan,9210801000001109
Anugesic-HC,9569401000001107
Anzemet,9210901000001103
AOSept,9652701000001105
Apclaven XL,13289601000001102
Apealea,430231000001104
Apercap,10979501000001105
Apexxnar,482081000001104
Apidra,9211101000001108
Apidra OptiClik,9211201000001101
Apidra OptiSet,9211301000001105
Apidra SoloStar,9211401000001102
APO-go,9192501000001105
APO-go Pen,9586001000001106
APO-go PFS,9192701000001104
Apodespan PR,12221001000001106
Apresoline,9211501000001103
Aprinox,9211601000001104
Aproderm,12233001000001109
AproDerm (isopropyl myristate / liquid paraffin),12867401000001105
AproDerm Colloidal Oat,12647301000001102
Aprokam,11706201000001109
Aprovel,9211701000001109
Aptamil Anti-Reflux,13095201000001107
Aptamil Comfort,13095301000001103
Aptamil Lactose Free,13095401000001106
Aptamil Pepti 1,13095501000001105
Aptamil Pepti 2,13095601000001109
Aptamil Pepti Syneo,232991000001105
Aptamil Pepti-Junior,9644701000001102
Aptivus,9211801000001100
Apyrid,229671000001108
Aqua Ban,9211901000001106
Aqua Maris,11981701000001102
Aqua-cool,10109201000001103
AquaBan Herbal,9212001000001103
AquaBar,9212101000001102
Aquadrate,9212201000001109
Aquagel,9561101000001100
Aqualube,92331000001106
Aquamol,10709601000001108
Aquapak,13114701000001106
Aquasept,9212301000001100
AquaSoothe,10979201000001107
Aquoral,10973601000001107
Aragam,11712201000001105
Aramine,9212401000001108
Aranesp,9212501000001107
Aranesp SureClick,9212601000001106
Arava,9212701000001101
Arbil MR,9212801000001105
Arcoxia,9212901000001104
Aredia,9213001000001108
Aricept,9213101000001109
Aricept Evess,9213201000001102
Arikayce,92871000001101
Arilvax,9213301000001106
Arimidex,9213401000001103
AriPro,11078301000001106
Arixtra,9213501000001104
Arjun,9213601000001100
Arkolamyl,11081501000001103
Arlevert,9213701000001105
Aromasin,9213801000001101
Aronix,115031000001106
Arovi,13128701000001105
Arpicolin,9213901000001107
Arpoya,13289901000001109
Arret,9214001000001105
Artelac,9214101000001106
Artelac Nighttime,10980501000001105
Artelac Rebalance,10976801000001101
Artelac Splash,10978001000001107
Arthrease,9556101000001102
Arthrofen,9214201000001104
Arthrosin,9214301000001108
Arthrotec,9214401000001100
Arthrum,11080101000001101
Arthrum H,10709701000001103
ARTISS,12462001000001105
Arupsan,94061000001106
Arythmol,9214501000001101
Arzerra,10546101000001102
Arzip,10711601000001105
Asacol,9214601000001102
Asacol MR,9214701000001107
Asasantin Retard,9214801000001103
Ascabiol,9214901000001109
Ascur,11976301000001104
Asendis,9215001000001109
Ashton & Parsons,9682701000001101
Asilone,9215101000001105
Asilone Heartburn,9215201000001103
Asilone Windcheaters,9215301000001107
Askit,9215401000001104
Asmabec Clickhaler,9215501000001100
Asmanex Twisthaler,9215601000001101
Asmasal Clickhaler,9215701000001106
Asmavent,10710701000001109
AsparDose,225461000001104
AsparMag,92781000001106
Aspav,9215801000001102
Aspaveli,215041000001101
Aspro Clear,9215901000001108
Assicco,93831000001107
AT10,9192901000001102
Atarax,9216001000001104
Atectura Breezhaler,231981000001104
Atenix,9216101000001103
Atenix Co,9216301000001101
Atgam,542721000001104
Athiam,229391000001103
Atimos Modulite,9216401000001109
Ationdo SR,94181000001100
Ativan,9216501000001108
Atkinsons & Barkers,9657301000001108
ATOMAID,93631000001106
Atopiclair,9556201000001109
Atransipar,13058001000001103
Atriance,9216601000001107
Atripla,9569501000001106
Atrogel,9558901000001100
Atrolak XL,12221101000001107
Atrovent,9216701000001102
Atrovent Aerocaps,9216901000001100
Atrovent Autohaler,9217001000001101
Atrovent UDV,9569601000001105
ATryn,9586101000001107
Attia,12089301000001105
Aubagio,12089801000001100
Audavate,11714601000001103
Audax,9217201000001107
Audicort,9217301000001103
Audmonal,10979701000001104
Augmentin,9569701000001100
Augmentin Intravenous,9561201000001107
Augmentin-Duo,9553001000001107
Aureocort,9217401000001106
Aurobeverine MR,13113801000001100
Avamys,9907701000001101
Avandamet,9217501000001105
Avandia,9217601000001109
Avastin,9217701000001104
Avaxim,9217801000001108
Avelox,9217901000001102
Avenor,174881000001107
Aviral,9218001000001100
Aviticol,12233701000001106
Avloclor,9218101000001104
Avoca,9218201000001106
Avodart,9218301000001102
Avomine,9218401000001105
Avonex,9218501000001109
Axalid,12881801000001102
Axid,9218601000001108
Axorid,10367501000001104
Axpinet,92881000001104
Axsain,9218701000001103
Aybintio,231291000001107
Ayendi,12468801000001101
Aymes,12646401000001108
Aymes 2.0kcal,13093401000001107
Aymes ActaCal Creme,13093301000001104
Aymes ActaGain,13282901000001103
Aymes ActaGain Juce,94231000001105
Aymes ActaGain Protein Shot,532671000001108
Aymes ActaJuni Shake,174091000001101
Aymes ActaSolve Delight,114931000001106
Aymes ActaSolve High Energy,13126001000001109
Aymes ActaSolve Protein Compact,174081000001103
Aymes ActaSolve Savoury,13128801000001101
Aymes ActaSolve Smoothie,13273501000001108
Aymes Acusist Clear,13275001000001103
Aymes Complete,12471901000001108
Aymes Shake,11709001000001105
Aymes Shake Compact,13128001000001108
Aymes Shake Fibre,93171000001100
Ayvakyt,231491000001108
Azactam,9218801000001107
Azapress,12219201000001108
Azarga,10107201000001105
Azilect,9218901000001101
Azitromax,13047701000001104
Azocan,1141000001109
Azocan-P,655391000001104
Azopt,9219001000001106
Azyter,10981901000001105
Azzalure,10112201000001109
B-2-50,9561301000001103
B-CoVita Compound,116231000001105
B-CoVita Strong,116191000001103
B-Max,12093301000001106
Baby Meltus,9676701000001106
BabyD,10976401000001103
BackOsamine,10368301000001107
Baclospas,9219101000001107
Bacticlor MR,9553101000001108
Bactigras,9567001000001107
Bactroban,9219201000001100
Balance Activ,10111601000001104
Balmosa,9561401000001106
Balsamka,9569801000001109
Bambec,9219301000001109
Bapscarcare,11073401000001105
Baraclude,9219401000001101
Baratol,9219501000001102
Baritop,9553201000001101
Bascellex,13272701000001106
Basecal100,11978201000001109
Basecal200,11978301000001100
Bavencio,13085201000001106
Baxan,9219601000001103
Bazetham MR,9553301000001105
Bazuka,9564001000001103
Bazuka Extra Strength,9563901000001101
BD PosiFlush,13278901000001106
Beacita,12088001000001101
Beclazone,9219701000001108
Beclazone Easi-Breathe,9219801000001104
Beclo-Aqua,9219901000001105
Becloforte,9220001000001107
Becloforte disks,9220101000001108
BecoAllergy,12457501000001109
Becodisks,9220201000001101
Beconase,9657401000001100
Becotide,9220301000001105
Becotide Rotacaps,9220401000001102
Bedol,9220501000001103
Bedranol,13277201000001100
Bedranol SR,9220601000001104
Beehive,9657501000001101
Begrivac,9220701000001109
Belkyra,227381000001105
Belvo,11031000001104
Bemfola,12467701000001109
Benacort,13096901000001105
Benadryl Allergy,9688401000001105
Benadryl Allergy Relief,9657601000001102
Benadryl One A Day,9682801000001105
Benadryl Plus,9676801000001102
Benadryl Skin Allergy Relief,9657701000001107
Benefiber,9652801000001101
BeneFIX,9220801000001100
Benefoot,9688501000001109
Benemid,9220901000001106
Benepali,12734301000001101
Benerva,9221001000001102
Benilexa One Handed,92941000001103
Benlysta,11075901000001100
Benoral,9221101000001101
Benph,12866601000001106
Benquil,9221201000001108
Bentexo,13280401000001106
Benzamycin,9221301000001104
Beovu,225491000001108
Bepanthen,9221401000001107
Bepro,9221501000001106
Beriate P,9221601000001105
Berinert,9221701000001100
Beriplex P/N,9221801000001109
Berlind Retard,9221901000001103
Berocca,9222001000001106
Berocca Boost,11973801000001104
Beromun,10547201000001106
Berotec,9222101000001107
Besavar XL,9222201000001100
Besponsa,13058601000001106
Besremi,154291000001107
Beta-Adalat,9222301000001109
Beta-Cardone,9222401000001101
Beta-Prograne,9222501000001102
Betacap,9222701000001108
BetaCare,9222601000001103
Betadine,9222801000001104
Betadine alcoholic,11082601000001106
Betaferon,9222901000001105
Betagan,9223001000001101
Betaloc,9223101000001100
Betaloc-SA,9223301000001103
Betesil,10110801000001109
Betim,9223401000001106
Betmiga,11707001000001100
Betnelan,9223501000001105
Betnesol,9223601000001109
Betnesol-N,9223701000001104
Betnovate,9223801000001108
Betnovate rectal,9667001000001103
Betnovate-C,9223901000001102
Betnovate-N,9224001000001104
Betoptic,9224101000001103
Bettamousse,9224201000001105
Bevespi Aerosphere,1841000001100
Bexsero,11978101000001102
Bextra,9224301000001101
Bezagen XL,9224401000001109
Bezalip,9224501000001108
Bezalip Mono,9224601000001107
Bi-Carzem SR,9224701000001102
Bi-Carzem XL,9224801000001106
bicaVera,9676901000001108
BiCNU,9224901000001100
Bidex,10381000001108
Bidor,9225001000001100
Bijuve,154791000001100
Biktarvy,13129301000001104
Biliscopin,9225101000001104
Biloptin,9225201000001106
Bilxona,12631701000001107
Bimi,635131000001104
Bimizza,12472701000001103
Bimzelx,155171000001102
BindRen,11976801000001109
Binocrit,9564101000001102
Binosto,12612901000001106
Binovum,9567101000001108
Bio-Carotene,11712801000001106
Bio-Kult,12089401000001102
Bio-Oil,9653301000001100
Bio-Strath,9657801000001103
Bio-Vitamin D3 - brand name,12885101000001107
BioBag,9672701000001107
Bioflex,9653101000001102
BioLon,13116401000001108
BIOmega,9653201000001109
Bioplex,9225301000001102
Biorphen,9225401000001105
BiotEss,13290601000001108
BioThrax,13289301000001108
Bipranix,9225501000001109
Biquelle XL,12232601000001107
Blemix,9225601000001108
Blenrep,93591000001106
Bleo-Kyowa,9225701000001103
Blephaclean,10707101000001106
Blephagel,11710801000001105
Blephasol,10550501000001108
Blerone XL,11709101000001106
Blincyto,12641401000001101
Blink,9688901000001101
Blink Intensive,9901301000001107
Blissel,321000001100
Blistex,9653401000001108
Bocouture,10550301000001101
Bolamyn SR,9895901000001104
Bondronat,9225801000001107
Bondulc,13048701000001103
Bonefos,9225901000001101
Bonilux XL,11707101000001104
Bonjela,9653501000001107
Bonjela Junior,11980101000001105
Bonjela Teething,9677001000001107
Bonviva,9226001000001105
Boostrix-IPV,12218401000001103
Bosulif,11717201000001108
Botanics Lavender,9657901000001109
Botanics Tea Tree,9677101000001108
Botox,9226101000001106
Brabio,13083901000001102
Bradosol,9567201000001101
Bradosol Plus,9553401000001102
Braftovi,13278201000001101
Braltus,12865401000001103
Bramitob,9901201000001103
Bramox,12606901000001107
Brancico XL,12864701000001106
Brasivol,9584501000001109
Bravelle,12220501000001105
Breakyl,11976901000001103
Bretylate,9226301000001108
Brevibloc,9226401000001100
Brevinor,9226501000001101
Brevoxyl,9226601000001102
Brexidol,9226701000001107
Bricanyl,9226801000001103
Bricanyl Respules,9226901000001109
Bricanyl SA,9227001000001108
Bricanyl Turbohaler,9227101000001109
Bridion,9898801000001100
Brilique,10714001000001104
Brilliant Peel ILM,13109701000001105
Brimisol PR,13079801000001100
Brinavess,1521000001108
Brineura,13272301000001107
Brintellix,12613401000001107
Britacef,9227301000001106
BritLofex,9227201000001102
Briviact,12643501000001103
Brochlor,9227401000001103
Broflex,9227501000001104
Brolene (Dibrompropamidine),9904201000001101
Brolene (Propamidine),9904301000001105
Brolene Antibiotic,12643401000001102
Brolene Cool,9683101000001109
Bronchitol,11374501000001106
Bronchlear,154991000001102
Bronchosan,10713101000001100
Brufen,9227601000001100
Brufen Retard,9227701000001105
Bruiseze,9227801000001101
Brukinsa,482231000001105
Brulidine,9227901000001107
Brymont,10711201000001108
Buccastem,9564301000001100
Buccolam,11075801000001106
Budelin Novolizer,10371101000001106
Budenofalk,9228101000001105
Bufyl,11081001000001107
Build-up,9749801000001104
Build-up nutritious shake,9653601000001106
Build-up nutritious soup,9667101000001102
Bunov,13126401000001104
Bupeaze,12752301000001105
Buplast,12857001000001107
Bupramyl,13055501000001103
Burinex,9228201000001103
Burinex A,9228301000001107
Burinex K,9228401000001104
BurnEze,9228501000001100
Buscomint,553191000001105
Buscopan,9561501000001105
Busiete,13084401000001109
Busilvex,9228601000001101
Buspar,9228701000001106
Butacote,9228801000001102
Butec,12646001000001103
BuTrans,9228001000001109
Buvidal,13287001000001100
Byannli,328171000001102
Bydureon,10981401000001101
Byetta,9228901000001108
Byfavo,154571000001105
Bylvay,430371000001105
Cabaser,9229201000001109
Cablivi,31331000001107
Cabometyx,12866401000001108
Cabren,9229301000001100
Cacicol,12808901000001104
Cacit,9229401000001108
Cacit D3,9229501000001107
Cadaff XL,13289401000001100
Caelyx,9229601000001106
Cafergot,9561601000001109
Cala Soothe,11706101000001102
Calaband,9553501000001103
Calceos,9229701000001101
Calchan MR,9229801000001105
Calci-D,12734801000001106
Calcicard CR,9229901000001104
Calcichew,9230001000001105
Calcichew D3,9230101000001106
Calcichew D3 Forte,9653701000001101
Calcichew Forte,13057301000001101
Calcidrink,9230201000001104
CalciErgo,13279201000001107
Calcijex,9230301000001108
Calcimax,9230401000001100
Calciparine,9230501000001101
Calcium Resonium,9230601000001102
Calcium-Sandoz,9556301000001100
CalCold,9683201000001102
Calconate,11466701000001105
Calcort,9230701000001107
"CalCough Children's Soothing",10972201000001103
CalCough Infant,10543001000001107
Calcough Six Plus,9683301000001106
CalCough Tickly,9677301000001105
CalDrink D3,11373501000001108
Calfovit D3,9230801000001103
Calgel,9230901000001109
Califig (Fig),10372601000001109
Califig (Senna),9231001000001100
Calimal,9231101000001104
Calm Life,9231201000001106
Calmurid,9231301000001102
Calmurid HC,9231401000001105
Calogen,9677401000001102
Calogen Extra,10107701000001102
Caloreen,9672801000001103
Calpol,9231501000001109
Calpol Fastmelts,9231601000001108
Calpol Night,9231701000001103
Calprofen,9231801000001107
Calquence,232681000001104
Calrecia,226731000001105
Calsalettes,9231901000001101
Calshake,9658101000001107
Calsynar,9232001000001109
Caltrate Plus,9683401000001103
Calvive,227581000001101
CAM - brand name,9229001000001103
Camcolit,9232101000001105
Campona Airmaster,635171000001102
Campral EC,9232201000001103
Campto,9232301000001107
Cancidas,9232401000001104
Candiden,9232501000001100
Candox,11477001000001102
CanesOasis,13276601000001100
Canespro,12089701000001109
Canesten (clotrimazole),9564401000001108
Canesten (fluconazole),9569901000001103
Canesten AF Once Daily,9564501000001107
Canesten Duo,9570001000001104
Canesten HC,9567301000001105
Canesten Hydrocortisone,9567401000001102
Canesten Oasis,9559001000001105
Cantassium,9661901000001108
Canusal,9232701000001106
Capasal,9232801000001102
Capastat,9232901000001108
Capexion,11073901000001101
Capimune,10706801000001100
Caplenal,9233001000001104
Capoten,9233101000001103
Capozide,9233201000001105
Caprelsa,11373001000001104
Caprilon,9667201000001109
Caprin,9233301000001101
Capsorin,10982101000001101
Capsuvac,9233401000001109
Captomex,9233501000001108
Carace,9233601000001107
Carace Plus,9233701000001102
Caralpha,9233801000001106
Caramet CR,9233901000001100
Carbagen,12087101000001101
Carbagen SR,9234001000001102
Carbaglu,9234101000001101
Carbalax,9234201000001108
Carbellon,9234301000001104
Carbex,94271000001107
Carbo-Dome,9234401000001107
Carbomix,9234501000001106
Carbzero,11978501000001107
Cardene,9234601000001105
Cardene SR,9234701000001100
Cardicor,9234801000001109
Cardide SR,12087501000001106
Cardilate MR,9234901000001103
Cardioace,9235001000001103
Cardioplen XL,9235101000001102
Cardiovis,12627201000001108
Cardioxane,9235201000001109
Cardozin XL,9235301000001100
Cardura,9235401000001108
Cardura XL,9235501000001107
Carexil,9899201000001107
Carisoma,9235601000001106
Carlosafine,13126301000001107
Carmeleze,11373701000001102
Carmil,573441000001106
Carmil XL,9235701000001101
Carmize,10715101000001104
Carnitor,9235801000001105
Carylderm,9235901000001104
Cascor,9236001000001108
Casilan 90,9667301000001100
Casodex,9236101000001109
Catacrom,10542501000001106
Catapres,9236201000001102
Catapres PL Perlongets,9586801000001104
Catephen,12612701000001109
Cathejell Lidocain,12912101000001107
Cathejell Mono,9677501000001103
Cathejell with Lidocaine,9658201000001100
Caverject,9236401000001103
Caverject Dual Chamber,12757601000001101
Cayston,10548701000001102
Ceanel,9236501000001104
Cedocard,9236601000001100
Cedocard Retard,9236701000001105
Cefrom,9236801000001101
Cefzil,9236901000001107
Celance,9237001000001106
Celebrex,9237101000001107
Celectol,9237201000001100
Celevac,9237301000001109
CellCept,9237401000001101
Cellusan,12092401000001108
Celluvisc,9237501000001102
Celontin,9237601000001103
Celsentri,9237701000001108
Celvapan H1N1,10112001000001103
Cemfix 1,9561701000001104
Cemfix 3,9567501000001103
Centrum,9683501000001104
Centrum Advance,10368001000001109
Centrum Cardio,10544301000001107
Centrum Fruity Chewables,11474301000001109
Centrum Kids,13127801000001100
Centrum Kidz,9662001000001100
Centrum Men,13127601000001104
Centrum Performance,9653801000001105
Centrum Women,13127701000001109
Centyl K,9237801000001104
Ceplene,10545701000001105
Ceporex,9237901000001105
Ceprotin,9238001000001107
Ceptava,13083701000001104
Cepton,9238101000001108
Cerazette,9238201000001101
Cerdelga,13058701000001101
Cerelle,11477101000001101
Ceretec,12616301000001109
Cerezyme,9238301000001105
Cernevit,9238401000001102
Certican,12466401000001104
Cerumol (arachis oil / chlorobutanol),9238501000001103
Cerumol (olive oil),10371501000001101
Cervagem,13287701000001103
Cervarix,9238601000001104
Cetanorm,9238701000001109
Cetavlex,9238801000001100
Cetec,9238901000001106
