"id","name","count"
377,Dexamethasone Tabs/Inj,24
378,Dexamfetamine Tablets,6
2206,Deximune (Cyclosporin) Capsules,3594
1691,Dialyvit,10
381,Dianette Tablets,1
385,Diazepam Tablets,27
1567,Diclofenac gel,6
387,Diclofenac Sodium E/C Tablets,2
1500,Diclofenac Suppository,2
2144,Diethylamine Salicylate 10% cream,2
393,Digitoxin Tablets,2
1808,Digoxin Tablets,90
395,Dihydrocodeine Tabs/Inj,11
2218,Diltiazem,73
396,Diltiazem M/R Capsules,82
401,Diprobase Cream,8
403,Dipyridamole Tablets,23
405,Disodium Pamidronate Ampoule,1
406,Disopyramide Capsules,1
410,Docusate Sodium 0.5% Ear Drops,5
411,Docusate Sodium Capsules,45
2169,Dolutegravir Tablets (Tivicay),64
412,Domperidone Tablets,39
413,Donepezil Tablets,18
10038,Doravirine,1
417,Dorzolamide 2% Eye Drops (Trusopt),25
418,Dosulepin(Dothiepin) Capsules,14
1606,Doublebase Gel,3
1516,Doxazosin MR,516
421,Doxazosin Tablets,4322
422,Doxepin Capsules,1
425,Doxycycline Capsules,61
2262,Duaklir Genuair Inhaler,2
2277,Dulaglutide Injection,154
1513,Duloxetine tablets,95
2170,Duotrav (Travoprost & Timolol) ,1
2236,Duralock-C,55
1444,Dutasteride,35
430,E45 Cream,9
10008,Eculizumab (Soliris),8
2246,Edoxaban Tablet,51
1660,Efavirenz tablet,8
2263,Eltrombopag Tablets,1
437,Emla Cream,32
3029,Empagliflozin / Placebo Tablets,24
2253,Empagliflozin Tablet,56
438,Emtricitabine,2
440,Enalapril Tabs,198
442,Enoxaparin Injection,288
1376,Ensure Plus,5
1510,Entecavir,112
2197,Enzalutamide,5
445,Epaderm Ointment,3
449,Epinephrine(Adrenaline) Inj,2
1452,Eplerenone,79
1354,Eprex (Epoetin Alfa),11
1451,Eprosartan,1
1621,Ergocalciferol,12
3003,Ertapenem Infusion,1
457,Erythromycin Injection,2
458,Erythromycin Stearate Tablets,13
3047,Erythropoietin - alfa / Eprex,2525
3048,Erythropoietin - beta (pen) / NeoRecormon,2748
3049,Erythropoietin - beta (syringe) / NeoRecormon,4688
3050,Erythropoietin - beta / NeoRecormon,317
3042,Erythropoietin - Darbepoetin (sureclick) / Aranesp,586
3043,Erythropoietin - Darbepoetin (syringe) / Aranesp,35644
3044,Erythropoietin - Darbepoetin / Aranesp,5838
3045,Erythropoietin - Micera,1653
3046,Erythropoietin - Unknown,598
1507,Escitalopram,15
1429,Esomeprazole,66
2156,Estradiol 0.06% gel,1
463,Estradiol Patches (Evorel),8
467,Estradiol Vaginal Tablets (Vagifem),2
470,Estriol 0.1% Cream,3
472,Etanercept Vial,9
3033,Eteclacitide,12
3051,Etelcalcitide,156
473,Ethambutol Tablets,10
476,Ethinylestradiol Tablets,2
481,Etonogestrel Implant,1
1481,Etoricoxib,5
1659,Etravirine tablet,1
2241,Eumovate Cream,8
485,Evening Primrose Oil Capsules,1
2071,Everolimus Tablets,3
486,Evorel Conti Patches,3
1558,Exemestane ,4
1600,Exenatide,8
1635,Exjade,3
487,Ezetimibe Tablets,215
1694,Famotidine,103
1947,Febuxostat Tablets,105
1369,Felodipine,194
493,Femoston Tablets,3
496,Fenofibrate Capsules,56
498,Fentanyl Lozenges,2
499,Fentanyl Patches,24
1702,Ferinject,4
2177,Ferric Carboxymaltose,1
1881,Ferritin Sulphate,20
501,Ferrograd M/R Tablets,3
1412,Ferrous Fumarate,2124
502,Ferrous Fumarate Syrup,7
1413,Ferrous Fumarate tabs,5
1410,Ferrous Funarate tabs,37
503,Ferrous Gluconate Tablets,50
504,Ferrous Sulphate Tablets,446
1822,Fesotenidine MR ,5
1997,Fesoterodine,7
1650,Fexofenadine Tablets,133
505,Fexofenadine Tablets 180Mg,1
506,Filgrastim Injection,1
507,Finasteride Tablets,230
509,Flecainide Tablets,11
510,Flucloxacillin Caps/Inj,188
511,Fluconazole,27
514,Fludrocortisone Tablets,76
516,Flunarizine Tablets,1
1878,Fluorouracil cream,2
521,Fluoxetine Capsules,102
522,Flupentixol Decanoate Injection (Depixol),6
523,Flupentixol Tablets,1
528,Fluticasone Inhaler,31
1993,Fluticasone Proprionate aqueous nasal spray,10
1454,Fluvastatin,6
530,Folic Acid Tablets,1561
531,Folinic Acid Ampoule,2
2215,Fondaparinux Sodium ,2
1534,Forceval,11
1377,Forticreme Complete,1
1379,Fortijuce,1
1605,Fortijuice,2
1381,Fortisip bottle,3
1740,fortisip compact ,85
1383,Fortisip Extra,1
2077,Fortisip Protein Compact,115
1378,Fortisip yoghurt style,1
1613,Fortisips,17
534,Foscarnet Infusion,1
2113,Fosfomycin,5
1756,Fostair Inhaler ,71
1851,fresubin 5kcal ,70
1384,Fresubin Protein Energy Drink,22
537,Frusemide Tablets,2164
2251,Fultium-D3 Capsules,6
1540,Furosemide Tablets,2322
540,Furosemide(Frusemide) Injection,11
541,Fusidic Acid 2% Cream,3
1571,Fybogel,19
544,Gabapentin Capsules,319
546,Ganciclovir Injection,1
1828,Ganfort Eye Drops,6
547,Gaviscon Advance,50
2216,Genotropin ,3
1623,Gentamicin 0.1% cream,1
553,Gentamicin Eye Drops,3
554,Gentamicin Injection,1022
1665,Gentamycin,27
2038,Gliclazide 160mg bd,2
1648,Gliclazide MR tablets,86
559,Gliclazide Tablets,1163
1411,Glimepiride,27
560,Glipizide Tablets,1
1539,Glucosamine,2
562,Glucose 10% Infusion,1
564,Glucostix Strips,1
566,Glycerine Bp,1
567,Glycerol Suppositories,8
569,Glyceryl Trinitrate Patches,36
2198,Glyceryl Trinitrate Spray ,24
570,Glycopyrrolate Powder,1
571,Glycopyrronium Injection,1
2203,Golimumab,2
1563,Gosarelin injection,4
574,Goserelin Implant,1
1366,GTN Spray,148
583,Haloperidol Decanoate Injection,4
584,Haloperidol Tablets,26
589,Heparin Injection,4
594,Hibisol,1
1439,HRT,6
2053,Humalog,155
3014,Humalog Insulin U200,15
2101,Humalog Mix 25,54
2102,Humalog Mix 50,101
1438,Human Mixtard 30,3
600,Human Mixtard 50,1
1966,Humilin M3,62
1879,Humulin,28
1589,Humulin I,87
10002,Humulin M3,90
601,Humulin S,8
603,Hydralazine Tablets,263
2182,Hydrochloroquine Sulphate,22
604,Hydrochlorothiazide Tablets,20
605,Hydrocortisone Cream,8
607,Hydrocortisone Sodium Succinate Injection,2
608,Hydrocortisone Tablets,41
610,Hydrogen Peroxide Solution,1
3016,Hydromol Cream,1
1456,Hydroxchloroquine,58
1608,Hydroxocobalamin,10
613,Hydroxocobalamin Injection,21
615,Hydroxycarbamide (Hydroxyurea) Capsules,11
616,Hydroxychloroquine Tablets,231
1806,Hydroxyzine hydrochloride,4
618,Hydroxyzine Tablets,54
2219,Hylo-Forte Eye Drops QDS,8
619,Hyoscine Butylbromide Injection,4
620,Hyoscine Hydrobromide Injection,1
621,Hyoscine Patch,2
1499,Hyoscine Tablets,6
2222,HYPROMELLIOSE Eye Drops,5
622,Hypromellose 0.3% Eye Drops,12
1632,Ibandronic acid,1
1816,Ibesartan,3
2245,Ibrutinib Capsules,1
1538,Ibuprofen gel,9
623,Ibuprofen Tablets,11
628,Imatinib Capsules,8
630,Imipramine Tablets,5
631,Imiquimod Cream,1
632,"Immunoglobulin, Normal Human",2
2152,Indapamide,399
2029,Indapamide 2.5mg od,14
633,Indapamide M/R Tablets,187
635,Indometacin Capsules,3
637,Indoramin Tablets,1
638,Infliximab Infusion,6
1639,Inhaler,2
1463,Insulin,183
10021,Insulin Abasaglar (Glargine),42
1414,Insulin Actrapid,8
1417,Insulin Aspart (NovoRapid),653
641,Insulin Aspart Injection (Novorapid),10
2164,Insulin degludec,4
1420,Insulin Detemir (Levemir),340
1592,Insulin Glargine,3
1421,Insulin Glargine (Lantus),874
2249,Insulin Glargine (Lantus) 300 units/ml,4
1418,Insulin Glulisine (Apidra),16
1425,Insulin Humalog Mix25,8
1519,Insulin Humalog Mix50,17
646,Insulin Human Isophane,12
647,Insulin Human Soluble (E.G. Actrapid),1
648,Insulin Human Zinc Susp. (E.G. Monotard),1
1423,Insulin Humulin I,207
1427,Insulin Humulin M3,356
1415,Insulin Humulin S,8
1422,Insulin Insulatard,18
10003,Insulin Insuman,23
1467,Insulin Lantus,11
1419,Insulin Lispro (Humalog),6
1426,Insulin Mixtard 30,5
1424,Insulin NovoMix 30,485
1911,Insulin Novorapid,198
2282,Insulin Toujeo (Glargine 300IU/ml),21
660,Ipratropium Inhaler,8
662,Irbesartan Tablets,1230
663,Iron-Hydroxide Sucrose Complex Injection (Venofer),44
1655,iron hydroxide,3
1548,Iron Supplementation,83
10010,iron(III) isomaltoside (Diafer),1211
665,Isoniazid Tablets,382
668,Isosorbide Dinitrate Tablets,56
1668,Isosorbide Mononitrate SR Tablets,155
669,Isosorbide Mononitrate Tablets,383
1706,Isotard MR,1
670,Isotretinoin Capsules,5
673,Ispaghula Husk Sachets,3
675,Itraconazole Capsules,4
1662,Ivabradine,57
1949,ivermectin,26
1584,Kaltostat,4
1696,Kay Cee L,1
681,Ketoconazole Shampoo,2
682,Ketoconazole Tablets,3
689,Ketovite Tablets,6
690,Kivexa Tablets,9
692,Kliofem Tablets,4
10024,Kyleena coil (IUD),1
1526,L-Thyroxine,29
695,Labetalol Tablets,101
696,Lacidipine Tablets,30
1972,Lacosamide,9
1773,lacri-lube eye ointment,3
697,Lactulose Solution,189
2003,Lamivudine Solution,8
698,Lamivudine Tablets,112
699,Lamotrigine Tablets,57
700,Lanreotide Autogel,3
1368,Lansoprazole,3737
1432,Lanthanum Carbonate,104
702,Latanoprost Eye Drops (Xalatan),61
1748,Laxido,40
704,Leflunomide Tablets,4
1720,Lenalidomide,6
1409,Lercanidipine Hydrochloride,120
1612,Letrozole,24
707,Leuprorelin Acetate Injection,13
1465,Levemir,39
708,Levetiracetam Tablets,153
709,Levobunolol Eye Drops (Betagan),1
1746,Levocetirizine Tablets,6
710,Levofloxacin Infusion/Tablets,13
714,Levothyroxine (Thyroxine) Tablets,716
718,Lidocaine(Lignocaine) 2% Gel,1
721,Lidocaine(Lignocaine) 5% Ointment,1
2134,Linaclotide Capsules,1
1974,Linagliptin,1754
724,Linezolid Tablets/Infusion,22
1919,Liothyronine Tablets,2
1738,Liquid and White Soft Paraffin Ointment,6
726,Liquid Paraffin,1
727,Liquid Paraffin 50% in White Soft Paraffin,7
1885,Liraglutide,76
728,Lisinopril Tablets,400
1553,Lisinopril/thiazide combination,4
2153,Lithium Carbonate Tablets,19
729,Lithium Carbonate Tablets (Priadel),19
734,Lofepramine Tablets,8
740,Loperamide Tablets,92
743,Loratadine Tablets,35
1747,Loratidine,42
744,Lorazepam Tablets,20
745,Losartan Tablets,1021
2155,Lumigan 300 micrograms/ml eye,2
2201,Lurasidone,1
1752,Lymecycline,10
747,Maalox Tc Suspension,1
2250,Macitentan,2
2109,Macrogol Compound Sachet (CosmoCol),28
2261,Magnesium Asparate (10mmol magnesium),20
748,Magnesium Carbonate Capsules,3
10015,Magnesium Citrate with B6,2
2217,Magnesium glycerophosphate Mixture,3
749,Magnesium Glycerophosphate Tablets,18
750,Magnesium Hydroxide Mixture Bp,1
1852,Magnesium oxide,5
1657,Maxidex,5
766,Mebeverine Tablets,23
767,Medroxyprogesterone Acetate Tablets,2
768,Mefenamic Acid Capsules,2
770,Megestrol Acetate Tablets,2
2064,Melatonin,29
771,Meloxicam Tablets,3
1455,Memantine,10
773,Menadiol Sodium Phosphate Tablets,1
776,Menthol 2% Phenol 1% in Aqueous Cream,4
777,Mepacrine Tablets,3
10034,Mepolizumab (Nucala),1
10017,mercaptamine eye drop,2
780,Mercaptopurine Tablets,5
783,Meropenem Injection,21
1576,Mesalazine,22
784,Mesalazine 400Mg E/C Tablets (Asacol),2
785,Mesalazine 500Mg M/R Tablets (Pentasa),11
1870,Mesalazine MR (Mesren MR),1
789,Metformin Tablets,1225
790,Methadone Solution,29
2093,Methenamine Hippurate (Hiprex),9
791,Methionine Tablets,4
2139,Methocarbamol,1
792,Methotrexate Tablets,424
798,Methyldopa Tablets,42
2131,methylphenidate ,2
3052,Methylprednisolone,23
1674,metoclopramide,1
803,Metoclopramide Tablets,55
1712,Metolazone,5
804,Metolazone Tablets,82
805,Metoprolol Tablets,94
807,Metronidazole Tablets,20
808,Metyrapone Capsules,2
1371,Mexilitine,2
812,Miconazole Cream,1
814,Micralax Micro-Enema,1
815,Microgynon 30 Tablets,1
818,Midazolam Injection,3
1758,Midodrine,70
1727,MigraMax,1
826,Minoxidil 2% Solution (Regaine),1
827,Minoxidil Tablets,69
2128,Mirabegron Tablets,40
1363,Mircera,155
2193,MIRENA  Coil,4
829,Mirena Iu System,1
1792,Mirtazapine,215
840,Mometasone Furoate Ointment (Elocon),4
841,Mometasone Nasal Spray (Nasonex),11
846,Montelukast Tablets,111
848,Morphine Sulphate M/R Tablets (Mst),5
1601,Morphine Sulphate Solution (Oramoph),9
849,Morphine Sulphate Solution (Oramorph),5
1469,Movicol,117
1440,Moxifloxacin,12
853,Moxonidine Tablets,1403
854,Mucogel Suspension,1
1871,Multivitamin,1
1472,Multivitiamins,32
857,Mupirocin 2% Nasal Ointment (Bactroban Nasal),12
858,Mupirocin 2% Ointment,347
860,Mycophenolate Mofetil,3249
3053,Mycophenolate mofetil (CellCept),3348
3054,"Mycophenolate mofetil (CellCept, liquid)",9
3055,Mycophenolate mofetil (Myfenax),2020
3056,Mycophenolate mofetil (Unknown),3852
3057,Mycophenolic acid,188
3058,Mycophenolic acid (Myfortic),49
3018,Mycophenolic acid EC,1
1468,Myfortic,19
867,Naftidrofuryl Capsules,3
871,Nandrolone Decanoate Injection,2
873,Naproxen Tablets,9
1963,Naratriptan  ,2
874,Naseptin Nasal Cream,192
1434,Nebivolol,69
876,Nefopam Tablets,2
451,Neo-Recormon (Epoetin Beta),8
880,Neomycin Eye Drops,1
2088,Neoral (Ciclosporin) 100mg/ml Oral solution,16
270,Neoral (Ciclosporin) Capsules,13123
1356,Neoral (Ciclosporin) Injection,65
1394,Nepro,1
2112,Nepro HP,6
884,Nevirapine Tablets,5
2151,Nexplanon Implant,2
885,Nicardipine Capsules,3
886,Nicorandil Tablets,95
891,Nicorette Patches,2
892,Nicotinamide Tablets,4
893,Nicotinell Patches,4
896,Nicoumalone Tablets,1
897,Nifedipine Capsules,54
1457,Nifedipine LA,51
1561,Nifedipine MR,91
898,Nimodipine Tablets,2
899,Nipasept Sodium Powder,1
901,Nitrazepam Tablets,4
902,Nitrofurantoin Capsules,37
1669,Nizatidine,4
904,Norethisterone Tablets,13
10014,Normal Immunoglobulin (HNIG),6
2115,Nortriptyline,25
909,Nortriptyline Tablets,3
1560,Novomix Flexpen,112
1436,Novorapid,37
2103,Nutilis Complete,4
2259,Nutricreme Supplement,2
914,"Nystatin 100,000Units/G Cream",2
915,"Nystatin 100,000units/mL SF Suspension",191
1496,Nystatin Mouthwash,24
1866,Octenisan Skin Wash,5
919,Octreotide Injection,1
1637,Oestrogen,5
923,Oilatum Emollient,3
1861,Olanzapine Tablets,76
924,Olanzapine Tablets/Injection,1
1433,Olmesartan,13
1464,Omacor capsules,3
926,Omega-3-Acid Ethyl Esters Capsules (Omacor),6
927,Omeprazole,1373
928,Omeprazole Injection,1
929,Ondansetron Tablets,63
2146,Optive 0.5% eye drops,1
1527,Oral contraceptive pill,11
933,Orlistat Capsules,18
1641,Oromorph 10mg/5ml ,2
939,Oseltamavir Capsules/Suspension,2
10001,Osvaren,51
1629,Oxazepam,1
948,Oxcarbazepine Tablets,1
951,Oxybutynin Tablets,36
952,Oxybutynin Xl Tablets,1
953,Oxycodone Hcl Capsules (\\Oxynorm\\),36
954,Oxycodone Hcl M/R Tablets (\\Oxycontin\\),26
955,Oxycodone Hydrochloride Injection,3
1723,Oxygen,3
2114,Oxynorm Liquid (Immediate Release),16
2079,Paliperidone,3
962,Pancreatin (Creon),62
963,Pancrex V Capsules,1
2224,Panobinostat,1
1449,Pantoprazole,95
970,Paracetamol Tablets,500
1518,Paricalcitol capsule,113
975,Paroxetine Tablets,14
3008,Patiromer calcium (Veltassa),20
980,Penicillamine Tablets,1
1461,Penicillin V,56
1770,Pentamidine Nebulisers,10
1622,Pentoxifylline Tablets,4
987,Peppermint Oil Capsules,2
988,Peppermint Water Bp,1
993,Perindopril Tablets,109
999,Phenobarbital Tablets/Inj,2
2168,Phenobarbitone,1
1001,Phenoxymethylpenicillin Tablets,34
1004,Phenytoin Capsules/Injection,12
1841,Phenytoin Suspension,3
1009,Phosphate-Sandoz Effervescent Tablets,45
1007,Phosphate Enema (Standard Tube),1
1013,Picolax Sachets,6
1014,Pilocarpine (Isopto) Eye Drops,3
1017,Pioglitazone Tablets,35
1514,Piroxicam 0.5% gel,6
10039,Pivmecillinam,2
1018,Pizotifen Tablets,4
1023,Polytar Liquid,1
2214,Potassium Bicarbonate ,1
1028,Potassium Chloride 15% Injection,3
1029,Potassium Citrate Mixture Bp,15
1030,Potassium Effervescent Tablets (Klorref),1
10006,POWERED Study IMP (metformin 500mg or placebo),43
1627,Pramipexole ,3
1726,Prasugrel,6
1034,Pravastatin Tablets,91
2006,Prazocin,1
1036,Prazosin Tablets,8
3059,Prednisolone,34325
3060,Prednisolone Gastro-resistant,40
3061,Prednisolone Soluable,4
1039,Prednisolone Tablets,469
3062,Prednisone,25
1404,pregabalin,24
1041,Pregabalin Capsules,674
2235,Pregnacare Original Formula,9
1042,Premarin Tablets,3
1914,Prochloperazine,24
1056,Prochlorperazine Inj/Tabs,7
2278,Procrit (Epoetin beta),3
1058,Procyclidine Tablets,37
1060,Progesterone Pessaries (Cyclogest),3
2129,Progesterone Tablets,4
1805,Prograf (Tacrolimus Immediate Release) Capsules,11
1063,Promethazine Tablets,39
1066,Propantheline Tablets,2
1068,Propranolol Tablets,75
1070,Propylthiouracil Tablets,6
1677,Prostap,9
1921,Prucalopride Tablets,3
1078,Pyrazinamide Tablets,14
1079,Pyridostigmine Tablets,7
1080,Pyridoxine Capsules,400
1081,Pyrimethamine Tablets,1
1083,Quetiapine Tablets,50
1408,Quinapril,4
1086,Quinine Bisulphate Tablets,15
1088,Quinine Sulphate Tablets,394
