"diagnosis","cohort"
"Hepatocyte Nuclear Factor-1 Beta Mutations (HNF1B)","HNF1b"
"Hereditary renal hypouricemia","Tubulopathy"
"Hereditary hypophosphatemic rickets with hypercalciuria","Tubulopathy"
"Hyperuricaemic Nephropathy","ADTKD"
"IgA Nephropathy","IgA Nephropathy"
"IgA Vasculitis (Henoch Schonlein)","Vasculitis"
"Immunotactoid/Glomerulonephritis with Organised Microtubular Monoclonal Immunoglobulin Deposits (GOMMID)","MGRS"
"Inherited/Genetic Diabetes Mellitus Type II (MODY)","HNF1b"
"Inherited Renal Cancer Syndrome","Renal Cancer Inherited"
"Intracapillary monoclonal IgM without cryoglobulin","MGRS"
"Intraglomerular/capillary lymphoma/leukaemia","MGRS"
"Isolated autosomal dominant hypomagnesemia, Glaudemans type","Tubulopathy"
"Large Vessel Vasculitis","Vasculitis"
"Liddle Syndromes","Tubulopathy"
"Light chain cast nephropathy","MGRS"
"Light chain proximal tubulopathy, crystalline","MGRS"
"Light chain proximal tubulopathy, non crystalline","MGRS"
"Lowe Syndrome","Dent & Lowe"
"Medium Vessel Vasculitis","Vasculitis"
"Medullary Cystic Kidney Disease","ADTKD"
"Membranous Nephropathy","Membranous Nephropathy"
"Membranoproliferative Glomerulonephritis (MPGN)","MPGN"
"Minimal Change Nephropathy","INS"
"Mitochondrial Disease","Mitochondrial"
"Monoclonal Immunoglobulin Deposition Disease (MIDD; includes Light Chain Deposition Disease - LCDD; Heavy Chair Deposition Disease - HCDD; and Light and Heavy Chain Deposition Disease - LHCDD)","MGRS"
"Multicystic Dysplastic Kidneys","HNF1b"
"Nail Patella Syndrome","INS"
"Nephrogenic diabetes insipidus","Tubulopathy"
"Nephrogenic syndrome of inappropriate antidiuresis","Tubulopathy"
"Nephronophthisis","ARPKD/NPHP"
"Oncogenic osteomalacia","Tubulopathy"
"Osteopetrosis with renal tubular acidosis","Tubulopathy"
"Pregnancy and Chronic Kidney Disease","Pregnancy"
"Pregnancy & Lupus Nephritis","Pregnancy"
"Pregnancy in a Renal Transplant Recipient","Pregnancy"
"Primary hypomagnesemia with secondary hypocalcemia","Tubulopathy"
"Primary Hyperoxaluria","Hyperoxaluria"
"Primary Renal Fanconi syndrome","Tubulopathy"
"Proliferative glomerulonephritis with monoclonal immunoglobulin deposits (PGNMID)","MGRS"
"Proximal tubulopathy without crystals","MGRS"
"Pseudohypoaldosteronism type 2A","Tubulopathy"
"Pseudohypoaldosteronism type 2B","Tubulopathy"
"Pseudohypoaldosteronism type 2C","Tubulopathy"
"Pseudohypoaldosteronism type 2D","Tubulopathy"
"Pseudohypoaldosteronism type 2E","Tubulopathy"
"Pure Red Cell Aplasia","PRCA"
"Renal Cysts & Diabetes Syndrome","HNF1b"
"Shiga Toxin Associated Haemolytic Uraemic Syndrome (HUS)","STEC HUS"
"Renal pseudohypoaldosteronism type 1","Tubulopathy"
"Retroperitoneal Fibrosis","Retroperitoneal Fibrosis"
"Small Vessel Vasculitis (ANCA Associated)","Vasculitis"
"Steroid Resistant Nephrotic Syndrome (SRNS)","INS"
"Steroid Sensitive Nephrotic Syndrome (SSNS)","INS"
"Thin Basement Membrane Nephropathy","Alport"
"Thrombotic Microangiopathy with monoclonal gammopathy","MGRS"
"Tuberous Sclerosis","Tuberous Sclerosis"
"Type 1 cryoglobulinaemic Glomerulonephritis","MGRS"
"Unclassified Monoclonal Gammopathy of Renal Significance","MGRS"
"Uromodulin-Associated Nephropathy (Familial Juvenile Hyperuricaemic Nephropathy)","ADTKD"
"Variable Vessel Vasculitis","Vasculitis"
"Vasculitis","Vasculitis"
