code,name,location,is_transplant_site,trust_name,trust_caption,info,host_site,abbrev,position
RQ617,Royal Liverpool University Hospital,Liverpool,1,,,,,,99
RNJ00,Barts and The London Hospital,London,1,,,,,,99
RJ122,Evelina Children's Hospital (Guys & St Thomas'),London,0,,,,,,99
RP4,Great Ormond Street Hospital for Children,London,0,,,,,,99
RJ121,Guy's and St Thomas's Hospital,London,1,,,,,,99
RJZ,King's College Hospital,London,0,King's College Hospital,NHS Foundation Trust,"Renal Administration\nKing's College Hospital\nBessemer Road\nLondon SE5 9RS\n<b>Appointments</b>: 020 3299 6244\n<b>Fax</b>: 020 3299 6472\n<b>Switchboard</b>: 020 3299 9000\n<b>GP Email Advice</b>: kch-tr.renal@nhs.net",,,99
RAL01,Royal Free Hospital,London,1,,,,,,99
RJ701,St George's Hospital,London,1,,,,,,99
RQN02,West London - Hammersmith Hospital,London,1,,,,,,99
RM574,Manchester Royal Infirmary,Manchester,1,,,,,,99
RW3RM,Royal Manchester Children's Hospital,Manchester,0,,,,,,99
RCJAT,James Cook University Hospital,Middlesbrough,0,,,,,,99
RTD01,Freeman Hospital & Royal Victoria Infirmary,Newcastle,1,,,,,,99
RTD02,The Great North Childrens Hospital,Newcastle,0,,,,,,99
33020,Daisy Hill Hospital  (Southern Trust),Newry,0,,,,,,99
RM102,Norfolk & Norwich University Hospital,Norwich,0,,,,,,99
99RCSLB,Nottingham Childrens Hospital  (Queens Medical Centre),Nottingham,0,,,,,,99
RCSLB,Nottingham City Hospital,Nottingham,1,,,,,,99
45021,Tyrone County Hospital  (Western Trust),Omagh,0,,,,,,99
RNX02,John Radcliffe Hospital,Oxford,1,,,,,,99
RK950,Derriford Hospital,Plymouth,1,,,,,,99
RHU02,Queen Alexandra Hospital,Portsmouth,1,,,,,,99
RMF01,Royal Preston Hospital,Preston,0,,,,,,99
RHW01,Royal Berkshire Hospital,Reading,0,,,,,,99
RKGA1,Ysbyty Glan Clwyd,Rhyl,0,,,,,,99
RM301,Salford Royal Hospital,Salford,0,,,,,,99
RK7CC,Northern General Hospital,Sheffield,1,,,,,,99
RLZ01,Royal Shrewsbury Hospital,Shrewsbury,0,,,,,,99
RHM02,Southampton Childrens Hospital,Southampton,0,,,,,,99
RAJ01,Southend Hospital,Southend-on-Sea,0,,,,true,,99
RAQ01,Lister Hospital,Stevenage,0,,,,,,99
RJE01,University Hospital of North Staffordshire,Stoke-on-Trent,0,,,,,,99
RLNGH,Sunderland Royal Hospital,Sunderland,0,,,,,,99
RQHC7,Morriston Hospital,Swansea,0,,,,,,99
REF12,Royal Cornwall Hospital (Treliske),Truro,0,,,,,,99
RBL14,Arrowe Park Hospital,Wirral,0,,,,,,99
RL403,New Cross Hospital,Wolverhampton,0,,,,,,99
RKHA4,Wrexham Maelor Hospital,Wrexham,0,,,,,,99
RCB55,York District General Hospital,York,0,,,,,,99
