"code","name","form_code","route_code","unit_dose_uom_code","unit_dose_form_size_uom_code","active_ingredient_strength_numerator_uom_code","virtual_therapeutic_moiety_code","atc_code"
"33720811000001108",Alglucosidase alfa 1.1g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33722911000001104",Alglucosidase alfa 1.15g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33723911000001106",Alglucosidase alfa 1.2g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"34159911000001101",Generic Ostenil 20mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34160011000001104",Generic Ostenil Mini 10mg/1ml injection pre-filled syringes,"385219001","12130007",,,,,
"34160111000001103",Generic Ostenil Plus 40mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34160211000001109",Generic Suplasyn 20mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34160311000001101",Generic Sutherland lubricating jelly,,,,,,,
"34160411000001108",Generic Synocrom 20mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34160511000001107",Generic Synocrom Mini 10mg/1ml injection pre-filled syringes,"385219001","12130007",,,,,
"34160611000001106",Generic Synolis 40mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34160711000001102",Generic Synopsis 40mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34088711000001109",Generic TauroLock catheter lock solution 10ml vials,,,,,,,
"34088811000001101",Generic TauroLock catheter lock solution 3ml ampoules,,,,,,,
"34088911000001106",Generic TauroLock catheter lock solution 5ml ampoules,,,,,,,
"34089011000001102",Generic TauroLock-Hep100 catheter lock solution 3ml ampoules,,,,,,,
"34089111000001101",Generic TauroLock-Hep500 catheter lock solution 5ml ampoules,,,,,,,
"34089211000001107",Generic TauroLock-U25.000 catheter lock solution 5ml ampoules,,,,,,,
"34089311000001104",Generic TauroLock-U25.000 catheter lock solution 5ml ampoules and powder for solution vials,,,,,,,
"34089411000001106",Generic TauroLock-U25.000 powder for solution vials,,,,,,,
"34160811000001105",Generic TendoVis 12mg/1.2ml solution for injection pre-filled syringes,,,,,,,
"34049011000001109",Generic Thealoz Duo Gel eye gel 0.4g unit dose preservative free,,,,,,,
"34023211000001103",Generic Viscoseal 5mg/ml injection pre-filled syringes,,,,,,,
"33719411000001107",Lancets sterile single use 2mm/23gauge,,,,,,,
"33847611000001108",Lymphoedema garments armsleeve with shoulder strap and mitten,,,,,,,
"33846911000001100",Lymphoedema garments armsleeve with silicone top/band/border and mitten,,,,,,,
"34089511000001105",Potassium phosphate 17.42% (potassium 2mmol/ml) oral solution,"385023001","26643006",,,"258684004","777288003",
"33735311000001108",Sodium hyaluronate 0.05% / Ectoin 2% eye drops preservative free,"385124005","372472002",,,,"33759111000001107",
"33709211000001105",Sodium hyaluronate 0.3% eye drops,,,,,,"42596111000001100",
"34032611000001108",Sodium thiosulfate 0.3% solution,"385108009","448598008",,,"258684004","1202035004",
"33711311000001104",Soft silicone wound contact dressing sterile 27.5cm x 50cm,,,,,,,
"33712711000001107",Soft silicone wound contact dressing sterile 9.5cm x 150cm,,,,,,,
"33713411000001105",Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 10cm x 10.5cm,,,,,,,
"33708011000001105",Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 5.5cm x 12cm,,,,,,,
"33695511000001102",Sterile subcutaneous drug delivery device 100cm tubing 6mm needle 24gauge,,,,,,,
"33696711000001104",Sterile subcutaneous drug delivery device 100cm tubing 9mm needle 24gauge,,,,,,,
"35778511000001102",Generic Carolon compression sleeve small,,,,,,,
"34032511000001109",Generic PKU sphere20 oral powder 35g sachets,"385041009","26643006",,,,,V06C
"39695911000001106",Imatinib 400mg capsules,"420692007","26643006","428641000","428641000","258684004","776307004",L01EA01
"34023411000001104",Ixazomib 3mg capsules,"420692007","26643006","428641000","428641000","258684004","781325001",L01XG03
"34023311000001106",Ixazomib 2.3mg capsules,"420692007","26643006","428641000","428641000","258684004","781325001",L01XG03
"34023511000001100",Ixazomib 4mg capsules,"420692007","26643006","428641000","428641000","258684004","781325001",L01XG03
"34023111000001109",Generic Spatone Apple with Vitamin C 25ml sachets,"385023001","26643006",,,,,n/a
"34000711000001106",Obeticholic acid 5mg tablets,"421026006","26643006","428673006","428673006","258684004","776959001",A05AA04
"34001111000001104",Obeticholic acid 10mg tablets,"421026006","26643006","428673006","428673006","258684004","776959001",A05AA04
"34001711000001103",Olaratumab 500mg/50ml solution for infusion vials,"385229008","47625008","415818006","258773002","258684004","776979009",L01FX10
"33999611000001101",Reslizumab 100mg/10ml solution for infusion vials,"385229008","47625008","415818006","258773002","258684004","781215009",R03DX08
"33767411000001104",Hydroquinidine 300mg modified-release capsules,"385054002","26643006","428641000","428641000","258684004","33768011000001109",C01BA13
"33838411000001108",Generic Sanderson's Throat Specific mixture,"385023001","26643006","733015007","258773002",,,n/a
"33733911000001108",Glycopyrronium bromide 400micrograms/ml oral solution sugar free,"385023001","26643006",,,"258685003","13298001000001103",A03AB02
"33734011000001106",Nadolol 100mg/5ml oral suspension,"385024007","26643006",,,"258684004","776851004",C07AA12
"34048511000001107",Tracheostomy dressing sterile 8cm x 10cm,,,,,,,
"34047411000001109",Tracheostomy dressing sterile 9cm x 9.8cm,,,,,,,
"33749811000001102",Ustekinumab 130mg/26ml solution for infusion vials,"385229008","47625008","415818006","258773002","258684004","777905007",L04AC05
"33749711000001105",Trientine dihydrochloride 250mg capsules,"420692007","26643006","428641000","428641000","258684004","777844003",A16AX12
"33734411000001102",Thiamine 25mg tablets,"421026006","26643006","428673006","428673006","258684004","777739002",A11DA01
"33691411000001104",Caffeine 250mg/2ml / Sodium benzoate 250mg/2ml solution for injection vials,"385219001","47625008","415818006","258773002","258684004","774974002",V04CG30
"33690211000001109",Chlorhexidine gluconate 0.5% / Isopropyl alcohol 70% solution,"385108009","448598008",,,"258684004","775168009",n/a
"33691111000001109",Folic acid 5mg/5ml oral solution sugar free,"385023001","26643006","733015007","258773002","258684004","776022004",B03BB01
"33678211000001100",Aluminium acetate 12% ear drops,"385136004","10547007",,,"258684004","785758004",S02AA04
"33678311000001108",Amitriptyline 25mg/5ml oral suspension,"385024007","26643006",,,"258684004","774553005",N06AA09
"33678511000001102",Betamethasone valerate 0.1% cream 50% in Aqueous cream,"385099005","3594011000001102",,,"258685003","774839004",D07AC01
"33678411000001101",Ascorbic acid 10% eye drops preservative free,"385124005","372472002",,,"258684004","774644008",S01XA15
"33678611000001103",Coal tar 12% in Yellow soft paraffin,"385101003","3594011000001102",,,"258684004","775333000",n/a
"33657311000001105",Cabozantinib 60mg tablets,"421026006","26643006","428673006","428673006","258684004","774962001",L01EX07
"33631211000001106",Cefazolin 2g powder for solution for injection vials,"385223009","47625008","415818006","415818006","258682000","775092003",J01DB04
"33631511000001109",Deferasirox 90mg tablets,"421026006","26643006","428673006","428673006","258684004","775460008",V03AC03
"33631311000001103",Deferasirox 180mg tablets,"421026006","26643006","428673006","428673006","258684004","775460008",V03AC03
"33631411000001105",Deferasirox 360mg tablets,"421026006","26643006","428673006","428673006","258684004","775460008",V03AC03
"33630911000001109",Cabozantinib 20mg tablets,"421026006","26643006","428673006","428673006","258684004","774962001",L01EX07
"33631011000001101",Cabozantinib 40mg tablets,"421026006","26643006","428673006","428673006","258684004","774962001",L01EX07
"33618511000001109",Fluorouracil 1000mg/40ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"33618311000001103",Fluorouracil 1.1g/44ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"33618411000001105",Fluorouracil 1.2g/48ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"33618711000001104",Fluorouracil 200mg/8ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"33618911000001102",Fluorouracil 600mg/24ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"33619011000001106",Fluorouracil 800mg/32ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"33619111000001107",Fluorouracil 900mg/36ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"33619211000001101",Fluorouracil 950mg/38ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","776002003",L01BC02
"41898111000001104",Fluorouracil 0.5% cream,"421628006","448598008",,,"258684004","776002003",L01BC02
"33598111000001109",Epoprostenol 1.5mg powder and solvent (pH12) for solution for infusion vials,"14955211000001106","47625008","415818006","415818006","258684004","775801003",B01AC09
"33598211000001103",Epoprostenol 500microgram powder and solvent (pH12) for solution for infusion vials,"14955211000001106","47625008","415818006","415818006","258685003","775801003",B01AC09
"33595811000001106",Dexamfetamine 10mg tablets,"421026006","26643006","428673006","428673006","258684004","775504000",N06BA02
"33595911000001101",Dexamfetamine 20mg tablets,"421026006","26643006","428673006","428673006","258684004","775504000",N06BA02
"33583311000001102","Eftrenonacog alfa 3,000unit powder and solvent for solution for injection vials","7375911000001101","47625008","415818006","415818006","767525000","33507711000001107",B02BD04
"33587111000001107","Generic Alternaria alternata (A.tenuis) 10,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33595611000001107",Buprenorphine 8mg oral lyophilisates sugar free,"385062005","372473007","428673006","428673006","258684004","774936005",N07BC01
"33595511000001108",Buprenorphine 2mg oral lyophilisates sugar free,"385062005","372473007","428673006","428673006","258684004","774936005",N07BC01
"33595411000001109",Benzbromarone 50mg tablets,"421026006","26643006","428673006","428673006","258684004","774787002",M04AB03
"33572111000001102",Generic Farco-fill Protect catheter inflation solution,,,,,,,
"33665711000001105",Generic Healthy Start Women's Vitamin tablets,"421026006","26643006","428673006","428673006","258685003",,
"33635811000001105",Generic Meibopatch eye compress,,,,,,,
"33576111000001103",Generic Ugo 4weeks kit,,,,,,,
"33678711000001107",Hydrocolloid dressing semi-permeable sterile without adhesive border 20cm x 30cm rectangular,,,,,,,
"33623611000001109",Iodine aqueous topical solution,"385108009","448598008",,,"258684004","776364009",
"10141711000001100",Lymphoedema garments,,,,,,,
"33678911000001109",Menthol 1% / Salicylic acid 1% in Aqueous cream,"385099005","3594011000001102",,,"258684004","33677411000001100",
"33609911000001108",Papaverine 50mg/5ml solution for injection ampoules,"385219001","372461007","413516001","258773002","258684004","777065008",
"35778911000001109",Generic Carolon compression wrap 10cm x 185cm,,,,,,,
"33734211000001101",Palbociclib 125mg capsules,"420692007","26643006","428641000","428641000","258684004","777047009",L01EF01
"33690611000001106",Glucose 3g/10ml oral solution,"385023001","26643006",,,"258684004","776119003",V06DC01
"33690411000001108",Generic Glytactin RTD 10 liquid,"42552211000001100","26643006",,,,,V06
"33690511000001107",Generic Glytactin RTD 15 liquid,"42552211000001100","26643006",,,,,V06
"33690311000001101",Generic Glytactin BetterMilk 15 oral powder 49g sachets,"385041009","26643006",,,,,V06
"33690711000001102",Levomepromazine 62.5mg/5ml oral suspension,"385024007","26643006",,,"258684004","776520002",N05AA02
"33689411000001104",Generic Venclexta tablets starting pack,"3097611000001100","3594011000001102",,,,,L01XX52
"33680211000001105",Generic EnergieShake Jr Complete 1.0kcal liquid,"42552211000001100","26643006",,,,,V06
"33676411000001102",Generic Positive Control 0.1% Histamine solution for skin prick test,"15881311000001107","448077001",,,"258684004",,V04CL
"33678811000001104",Magnesium citrate 250mg capsules,"420692007","26643006","428641000","428641000","258684004","776613001",A12CC04
"33673411000001107",Generic Negative Control 0.9% Saline solution for skin prick test,"15881311000001107","448077001",,,"258684004",,V04CL
"33665911000001107",Generic SMA PRO Gold Prem 2 powder,"385041009","26643006",,,,,n/a
"33665811000001102",Generic SMA PRO Gold Prem 2 liquid,"42552211000001100","26643006",,,,,n/a
"33633611000001107","Generic Horse Epithelia 10,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33632011000001109","Generic Dog Epithelia 10,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33631711000001104",Hydrocortisone 200mg suppositories,"385194003","37161004","430293001","430293001","258684004","776251005",A07EA02
"33626111000001106","Generic Wheat Flour 5,000PNU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33626511000001102","Generic Dermatophagoides pteronyssinus 50,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33626911000001109","Generic Dermatophagoides farinae 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33631611000001108",Generic K.Yo semi-solid food 100g pots,"3097611000001100","3594011000001102",,,,,n/a
"33624911000001101","Generic Rye Flour 5,000PNU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33625111000001100","Generic Golden Hamster Epithelia 10,000BU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"39698911000001100",Levothyroxine sodium 75microgram tablets,"421026006","26643006","428673006","428673006","258685003","776526008",H03AA01
"33619711000001108",Levothyroxine sodium 12.5microgram tablets,"421026006","26643006","428673006","428673006","258685003","776526008",H03AA01
"33619411000001102",Generic KetoClassic 3:1 Bar,"3097611000001100","3594011000001102",,,,,n/a
"33619511000001103",Generic KetoClassic 3:1 Meal 135g pouches,"3097611000001100","3594011000001102",,,,,n/a
"33615811000001103","Generic Cow Epithelia 10,000BU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33590811000001100","Generic Cat Epithelia 50,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33584011000001103","Generic Aspergillus fumigatus 10,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33586711000001105","Generic Cladosporium herbarum 10,000BU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33587611000001104","Generic Penicillium chrysogenum (P.notatum) 10,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33596111000001105",Generic Taranis low protein Dalia milk substitute powder,"385041009","26643006",,,,,n/a
"33564811000001107","Generic Willow (Salix caprea) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33564011000001101","Generic Ash (Fraxinus excelsior) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33679111000001104",Salicylic acid 15% in White soft paraffin,"385101003","3594011000001102",,,"258684004","777486002",
"33679211000001105",Salicylic acid 4% in Emulsifying ointment,"385101003","3594011000001102",,,"258684004","777486002",
"33609311000001107",Sodium hypochlorite 0.05% solution,"420699003","3594011000001102",,,"258685003","777562002",
"33619911000001105",Sodium hypochlorite 0.1% solution,"420699003","3594011000001102",,,"258684004","777562002",
"33679311000001102",Sodium hypochlorite 0.25% solution,"420699003","3594011000001102",,,"258684004","777562002",
"33679411000001109",Sodium hypochlorite 0.33% solution,"420699003","3594011000001102",,,"258684004","777562002",
"33679511000001108",Sulfur 0.5% in Aqueous cream,"385099005","3594011000001102",,,"258684004","777649006",
"33690811000001105",White soft paraffin 15% / Liquid paraffin 6% cream,"421628006","448598008",,,"258684004","776798003",
"33686211000001107",Venetoclax 10mg tablets,"421026006","26643006","428673006","428673006","258684004","777925006",L01XX52
"33686711000001100",Venetoclax 50mg tablets,"421026006","26643006","428673006","428673006","258684004","777925006",L01XX52
"33687111000001103",Venetoclax 100mg tablets,"421026006","26643006","428673006","428673006","258684004","777925006",L01XX52
"33679011000001100",Phenol 2% in Aqueous calamine cream,"385099005","3594011000001102",,,"258684004","777168008",D08AE03
"33620111000001108",Ursodeoxycholic acid 250mg tablets,"421026006","26643006","428673006","428673006","258684004","777903000",A05AA02
"33620011000001107",Sofosbuvir 400mg / Velpatasvir 100mg tablets,"421026006","26643006","428673006","428673006","258684004","777583008",J05AP55
"33596311000001107",Tiotropium bromide 10microgram inhalation powder capsules with device,"385207009","18679011000001101","428641000","428641000","258685003","777781008",R03BB04
"33596211000001104",Penicillamine 250mg/5ml oral suspension,"385024007","26643006",,,"258684004","777110007",M01CC01
"33570811000001108",Rocuronium bromide 50mg/5ml solution for injection ampoules,"385219001","47625008","413516001","258773002","258684004","777458005",M03AC09
"33528711000001104",Disodium edetate 0.37% ophthalmic solution preservative free,"501831000001108","372472002",,,"258684004","21203211000001108",S01XA05
"33524811000001104",Affinity purified European viper antivenom 100mg/4ml solution for infusion vials,"385229008","47625008","415818006","258773002","258684004","10928211000001103",J06AA03
"33523911000001107",Disodium edetate 0.38% eye drops,"385124005","372472002",,,"258684004","21203211000001108",S01XA05
"33523711000001105",Certolizumab pegol 200mg/1ml solution for injection pre-filled disposable devices,"385219001","34206005","3318611000001103","258773002","258684004","775135002",L04AB05
"33513011000001102",Compound zinc paste 77% / Compound benzoin tincture 3% ointment,"425753008","448598008",,,"258684004","33513911000001103",n/a
"33523611000001101",Bacillus Calmette-Guerin vaccine powder and solvent for suspension for injection ampoules,"7376011000001109","372464004","413516001","413516001",,"9897011000001108",L03AX03
"33514011000001100","Adrenaline (base) 25micrograms/ml (1 in 40,000) topical solution","385108009","448598008",,,"258685003","775784001",C01CA24
"33514911000001101",Concentrate of proteolytic enzymes enriched in bromelain 2g powder and gel for gel vials,"33491111000001107","448598008","415818006","415818006","258682000","33515611000001108",D03BA03
"33516711000001107",Amikacin 2.5% eye drops preservative free,"385124005","372472002",,,"258684004","774534000",S01AA21
"33508811000001100",Eftrenonacog alfa 500unit powder and solvent for solution for injection vials,"7375911000001101","47625008","415818006","415818006","767525000","33507711000001107",B02BD04
"33509211000001106","Eftrenonacog alfa 1,000unit powder and solvent for solution for injection vials","7375911000001101","47625008","415818006","415818006","767525000","33507711000001107",B02BD04
"33509611000001108","Eftrenonacog alfa 2,000unit powder and solvent for solution for injection vials","7375911000001101","47625008","415818006","415818006","767525000","33507711000001107",B02BD04
"42082111000001103",Dexamethasone 4mg tablets,"421026006","26643006","428673006","428673006","258684004","775499000",H02AB02
"33488311000001103",Atropine 40micrograms/2ml solution for injection ampoules,"385219001","47625008","413516001","258773002","258685003","774696006",A03BA01
"33494611000001102",Aprepitant 125mg oral powder sachets,"385027000","26643006","733013000","733013000","258684004","774629007",A04AD12
"33456711000001109",Calcium gluconate 10% solution for injection 50ml vials,"385219001","47625008","415818006","258773002","258684004","775002009",B05BB01
"33422211000001104",Desmopressin 50microgram oral lyophilisates sugar free,"385062005","37839007","428673006","428673006","258685003","775491002",H01BA02
"33422111000001105",Desmopressin 25microgram oral lyophilisates sugar free,"385062005","37839007","428673006","428673006","258685003","775491002",H01BA02
"33256711000001108",Efmoroctocog alfa 750unit powder and solvent for solution for injection vials,"7375911000001101","47625008","415818006","415818006","767525000","781175005",B02BD02
"33219211000001103",Bupivacaine 1.25g/500ml (0.25%) infusion bags,"14964511000001102","404820008","428672001","258773002","258684004","774932007",N01BB01
"33515811000001107",Ethanol 18% eye drops preservative free,"385124005","372472002",,,"258773002","775880004",
"33295611000001100",Generic Cacicol eye drops 0.33ml unit dose preservative free,,,,,,,
"33430011000001108",Generic Granulox spray,,,,,,,
"33429811000001108",Generic KerraMaxCare dressing 13.5cm x 15.5cm rectangular,,,,,,,
"33531511000001101",Generic Medihoney HCS Surgical dressing with adhesive border 7.5cm x 20cm,,,,,,,
"33546011000001103","Generic Poplar (Populus alba) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33548211000001109",Generic Numeta G13%E Preterm infusion 300ml bags,"14964511000001102","47625008","428672001","258773002","258684004",,B05BA10
"33537511000001107","Generic False Acacia (Black Locust) 50,000BU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33537911000001100","Generic Hazel (Corylus avellana) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33538311000001100","Generic Oak (Quercus robur) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33541511000001102","Generic Plane 50,000BU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33529111000001107",Epirubicin 30mg/15ml solution for injection pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258684004","775794006",L01DB03
"33525611000001102","Generic Beech 50,000BU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33526011000001100","Generic Birch (Betula alba) pollen 50,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33526411000001109","Generic Elm (Ulmus scabra) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33518511000001101","Generic Rye (Secale cereale) pollen 50,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33520011000001103",Gadodiamide 0.5mmol/ml solution for injection 15ml pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258718000","776063005",V08CA03
"33520611000001105","Generic Dandelion (Taraxacum vulgare) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33521011000001107","Generic Nettle 50,000BU/ml solution for skin prick test","15881311000001107","448077001","3317411000001100","3317411000001100",,,V04CL
"33521411000001103","Generic Mugwort (Artemisia vulgaris) pollen 50,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33521811000001101","Generic English Plantain (Plantago lanceolata) pollen 50,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33522611000001106","Generic Alder (Alnus glutinosa) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33512611000001104","Generic Grass mix pollen 50,000SBU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33515111000001100","Generic Barley (Hordeum vulgare) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33517611000001101","Generic Oat (cultivated) (Avena sativa) pollen 50,000BU/ml solution for skin prick test","15881311000001107","448077001",,,,,V04CL
"33491511000001103",Gemcitabine 1.2g/120ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","776089005",L01BC05
"33491611000001104",Gemcitabine 1.6g/160ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","776089005",L01BC05
"33492011000001103",Gemcitabine 1.8g/180ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","776089005",L01BC05
"33492511000001106",Gemcitabine 2g/200ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","776089005",L01BC05
"33493311000001105",Gemcitabine 2.2g/220ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","776089005",L01BC05
"33482711000001102",Gadodiamide 0.5mmol/ml solution for injection 10ml pre-filled syringes,"385219001","47625008","3318611000001103","258773002","258718000","776063005",V08CA03
"33422311000001107",Elbasvir 50mg / Grazoprevir 100mg tablets,"421026006","26643006","428673006","428673006","258684004","781225004",J05AP54
"33382911000001106",Generic Nutricomp Drink Plus,"42552211000001100","26643006",,,,,n/a
"33383211000001108",Generic Nutrini Peptisorb Energy liquid,"35367711000001100","372454008",,,,,n/a
